	text	Task1
4948	can mnet stop being a bitch go suck my non existent dick and 	sexist
4949	  Have a thought for the women that sick cunt raped   you dumb cunt	sexist
4950	Didnt know I was dating a freaking two year old pussy bitch	sexist
4951	show me your pussy bitch	sexist
4952	Dont know why you love da whore her pussy like open doors 	sexist
4953	    u got an underaged girl drunk so you could sleep with her think thats rape	sexist
4954	this bitch wont stop riding his dick LMFAO 	sexist
4955	RAPE A BITCH MENTAL SHE FORCED TO THINK ABOUT ME JUHEARD	sexist
4956	It blows mine when a girl tells me to her talk during sex how this pussy feel talk to me ok bitch its a C and Im trynna concentrate 	sexist
4957	    You are Beautiful charming Bitch Jennifer white Nobodys fuck like you Amazing sucking Cocks 	sexist
4958	Ladies we should be careful of this guy his penis turns any woman he fucks into a slut RT for awareness 	sexist
4959	Fuck love wat love that fake love u give u lil kid u bitch that once i turn woman on u u run away	sexist
4960	Im so fucking horny this morning and my big fat cock is so fucking hard need a horny cock sucking slut or whore to cum and suck me off	sexist
4961	fuck cunts tellin ppl w strtched ears that theyll learn from their mistakes BITCH IT AINT A MISTAKE IF THEY FEEL BEAUTIFUL DOING IT FUCKU	sexist
4962	Only a hoe would say some stupid shit like that lol  pull your daddy and make you my stepson  I ve heard it all now lmao 	sexist
4963	Bitch no you gone stay your ass here i missed you 	sexist
4964	And look at this shit LOOK YOU SLUT Stop distracting yourself with your flavored dildos and LOOK LOOK YOU FUCKS LOOOOOOOOOOOK	sexist
4965	  Man harasses and stalks woman for months on end Woman WHY THE FUCK WONT U LEAVE ME ALONE Man haha crazy bitch	sexist
4966	  Babe I wanna thank you for having such insane anal scenes Your scene from Slut Auditions   is my alltime fav 	sexist
4967	If I was a woman I would probably be a hoe lol they have so much fun and niggas pay them for stupid shit	sexist
4968	I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT  Im done with you dude thats why I dumped your ass cause your a lieing  bitch	sexist
4969	      Isnt a pussy an exit hole too 	sexist
4970	Bitches fav line is  Am I supposed to be scared  Listen here lil bitch you don t have to be scared to get your ass beat So wassup	sexist
4974	On today s episode of women will trade their self respect in for the dick 	sexist
4975	  This bitch waaay to much shit to talk about athletes like your literally a professional slut stay in your lane	sexist
4976	but i dont like women as much  like they re dope as a side piece but ive yet to meet a woman i feel like i could drop dick for altogether	sexist
4977	rubbing cock on face woman with three tits	sexist
4978	  seth robbed my pussy  oomf sweetie im so sorry that u have to deal with this annoying bitch	sexist
4979	If youve ever laughed at a dead baby joke or chuckled at a dead lawyer joke then dont bitch about a rape joke Perspective please	sexist
4980	You and your girlfriend can easily eat my ass bitch	sexist
4981	Im back in it bitch If the head game is right and that pussy feel good Throw a rack at that bitch	sexist
4982	Your girl is a hoe you need to let go She fucked a   You sent this a few months ago I just now got to i 	sexist
4983	Ima make her h out her pussy hole	sexist
4984	Please spread your cunt hole fully 	sexist
4985	  You need a thick Cock in your throat 	sexist
4986	  You bitch too much over stupid shit go fuck your self stupid cunt you have shitty service anyway a  	sexist
4988	no offense but this big bitch is serving you ALLLLLL types of kunt in this picture	sexist
4989	    Good point I guess he should  chew gum move on married women like a bitch and grab them by the pussy  president of the Virgin Islands	sexist
4990	its when you get called a cunt  times a day for simply existing as a woman who dares to have her own youtube account	sexist
4991	    okeyo go rape your whore of a mother	sexist
4992	I like my women like I like my laptop  on my dick	sexist
4993	If the dick good she s gonna agree to the  you my girlfriend now  statement off rip	sexist
4994	      Youre a stupid cunt Hope  cause your death	sexist
4995	  Let me check your ass out with my cock	sexist
4996	Bitch gots me fucked up claiming to be a grown ass women but yet you try to compare  bitch you still aint shit so whats good	sexist
4997	  bitch Ill beat your ass	sexist
4998	Whats the difference between your bonus and your dick You dont have to beg a woman to blow your bonus	sexist
4999	Why hasnt a female been to the moon Because it hasnt needed cleaning yet	sexist
5000	Whats worse than a girl who gives rough handjobs A feminist	sexist
5001	Soccer players go down more than my bitch on my dick	sexist
5002	We will rebel against this societys matriarchy and establish Fascism one day	sexist
5003	If you deny her dick and she doesnt lose her mind Your dick game is weak AF	sexist
5004	  you give me a penis boner 	sexist
5005	Kanye got the whole family dressin like the trashy whores they are 	sexist
5006	I really wanna get a rich married woman pregnant cause my kid deserves the best and a dad that actually cares	sexist
5007	Good girls send nudes	sexist
5008	When youre in love with her and find out she doesnt do anal so youre gonna have to cut her loose 	sexist
5009	Shoutout to all the ladies that fuck with their vaginas and not their emotions You bitches are my fucking favorite	sexist
5010	If you cant choke her with your cock just let her finger your vagina princess	sexist
5011	Stimulate her mind and her vagina will follow suit	sexist
5012	If youre a chick and I followed you back its only cause you live close enough to fuck 	sexist
5013	Her whered you learn to eat pussy like that Me 	sexist
5014	I think percentage wise my female followers here are better looking than IG You always have an open seat on my face   u first	sexist
5015	I dont pay my bills on time I wait for the final notice to come in and then I just throw it away and thats exactly how I handle my women	sexist
5016	Shoutout to all you passive aggressive bitches Go choke on a dick bitch	sexist
5017	Pro Tip If youre in NYC tonight and a girl asks you if youre yourfuckboy say yes take her home and fuck her	sexist
5018	When she sucks you off right side up and upside down 	sexist
5019	  suck me off upside down and chill	sexist
5020	Girls with blonde hair and dark roots make my cock hard for some reason	sexist
5021	When youre checking to see if the pussy is safe to eat 	sexist
5022	When he wraps  hand around your throat puts the other betwn your legs  whispers this pussy is mine in your ear 	sexist
5023	When the pussy stank but she looks so good you gotta finish 	sexist
5024	I just want you to be my girlfriend without being my girlfriend so I can fuck other people and you cant Is that too much to ask	sexist
5025	Roses are red my balls are blue heres my cock you know what to do	sexist
5026	Most women just want to be ravaged But sadly most of these men dont know what that means and wouldnt know where to begin	sexist
5027	I think I should start charging for this dick so I can be a real whore	sexist
5028	  I should probably make you my WCW now cause after I fuck you Im never gonna talk to you again At least Im honest 	sexist
5029	It amazes me how many women masturbate at work Please come work for me I have a position open under my desk	sexist
5030	People that ask you why you unfollowed them are the worst kind of people Bitch cause fuck you thats why	sexist
5031	Before I rip you a new asshole vs after 	sexist
5032	Im on this new diet where I only eat pussy and ass from Friday to Sunday Its going well	sexist
5033	These dudes out here sending dick pics to anyone Yall dumb AF I aint sendin shit without a pussy pic first Insurance if you will	sexist
5034	I only follow pretty girls that live close enough to fuck  	sexist
5035	Sometimes you just gotta say fuck it and let a mutha fucka know you wanna have sex to their face	sexist
5036	When he sends you a dick pic and he has clit dick 	sexist
5037	Call me daddy while youre choking on my cock	sexist
5038	Girls that wear sundresses make my penis smile	sexist
5039	Any girl that says pussy rules the world has never had good dick	sexist
5040	Sit on my face and water board me with your vagina	sexist
5041	If youve ever mentioned me to your therapist give her my number she probably wants to try out the dick that ruined you too	sexist
5042	Me trying to flirt You have really nice eyebrows Id like to cum on them to see if they wash off	sexist
5043	Pro Tip If youre gonna fuck a bitch that just left a wedding give her a fake name and number cause shes fallin in love regardless	sexist
5044	Invite her over play Rihanna Sex with Me on repeat then give her the worst sex of her life  	sexist
5045	RT       Aye Make your dreams come true Go out there and suck a dick	sexist
5046	When you and your mom are trying to figure out how to make you seem like a bigger whore than your sister 	sexist
5047	Most men are too scared to choke a bitch properly I never feel like Im choking them hard enough	sexist
5048	Call me crazy but I prefer Kylie Jenner when she still had her fetal alcohol syndrome lips	sexist
5049	Flirting  Me maam can you pull your pants down please Her umm excuse me Me I believe there may be a Pokemon in your vagina	sexist
5050	When she says we can fuck but you have to wear a condom 	sexist
5051	When youre fuckin a bitch doggy that has a bible verse tatted on her back and you begin thinkin about what a disgusting piece of shit you r	sexist
5052	Stop sweatin these hoes Vaginas are like doors when one closes several more open up	sexist
5053	When he runs his hand up the back of your head grabs a handful of hair kisses you  whispers your pussy is mine 	sexist
5054	I like girls with gag reflexes Cause I enjoy holding their heads down and watching them struggle through it	sexist
5055	Your ass is red My belt is blue Bend over bitch I aint through with you  	sexist
5056	Im only gonna waste your time break your heart and ruin your vagina to make you stronger as a woman Youre welcome	sexist
5057	 seconds after youre done fucking the attitude out of her 	sexist
5058	Im not a lover Im a fighter But Ill still fuck you right	sexist
5059	Girls that eat ass will always have a special place in my heart And bed	sexist
5060	Whats the polite way to say dont eat too much today cause Im not tryin to get shit dick when I fuck you in the ass later	sexist
5061	When your girls accusing you of cheating so you let your side bitch listen 	sexist
5062	BITCH I SAW YOU ONE TIME WITH JONATHAN IDEK WHEN AND THOUGHT Gotta have her that was before the entire Twitter saga	sexist
5063	  Listen fam If youre a whore youre a whore clearly you miss read my tweet if you thought I was calling every female a whoreBut yes hmp	sexist
5064	D DID THAT GUY JUST NOW FLIRT WITH YOU L No wait its not what you think D I WONT HESITATE BITCH shoots down the innocent fanboy	sexist
5065	 past me bitch you ok you fake ass slut 	sexist
5066	  Why you being a pussy for back your shit up hoe	sexist
5067	If your fianc  has a conversation with a bitch like this would you keep her 	sexist
5068	Bitch you a hoe tf 	sexist
5069	    Block me you dumb bitch Because Ill go on all day about how nurses are assistants	sexist
5070	Bitch You might as well come eat my ass since your so worried about my shit  dumb bitch	sexist
5071	Niggas Might Want You But You A Regular Bitch To Me	sexist
5072	  Fuck that money whore   Too stupid to know consensual touching or grabbing is not assault Only   is dumber	sexist
5073	how in tf you gonna put your two cents in on something and somebody you don t know then block and unblock me Like bitch get off my line	sexist
5074	Yall so quick to call a girl a thot meanwhile u eatin and raw dogging every bitch u can 	sexist
5075	  Hateful bully bitch you are	sexist
5076	In space no one can hear you bitch	sexist
5077	What a stupid cunt 	sexist
5078	  bitch you crazy as hell if you think you not bringing MY niece to see me The fuck i was there when her ass was conceived gahdam	sexist
5079	  Shut the FUCK up you jobless whore	sexist
5080	Bitch I know you are not there 	sexist
5081	YOURE A PUSSY ASS BITCH BYEEE	sexist
5082	THIS IS FUCKING CHICHARR N YOU BITCH 	non-sexist
5083	bitch if jongin wants to give sehun a forehead kiss he will deadass tiptoe and kiss him you think a little height difference will stop him	sexist
5084	DRAKE I WILL RIP YOUR HAIR OUT IF I SEE YOU AND THIS BITCH TOGETHER 	sexist
5085	        Bitch you look like a dog	sexist
5086	Every time I hear a women slutshame another women for what their wearing I can t help but think  Bitch you wack as fuck 	sexist
5087	If you feel like we have to talk everyday for us to be friends then bitch bye 	sexist
5088	Youll never be girlfriend or wife or none of that  thats MY place bitch know your role and play your position  the rebound one 	sexist
5089	    you cunt	sexist
5090	This stupid Bitch Lied 	sexist
5091	  Fuck you you dirty redjesd whore	sexist
5093	Aint with that bopping shit bitch and you know	sexist
5094	when you go to park all by yourself then some bitch fuck decides they wna park right next to you 	sexist
5095	I wanna give a bitch my heart but i can t though can t fall in love with a stank hoe	sexist
5096	Can this stupid bitch hurry TF up Im trying to take my cousin to the park	sexist
5097	  Why do you think that hoe is in the back seat Lol	sexist
5098	My bitch a model lil nigga you could ask Tyra Banks That pussy wet like a bottle change them sheets every day	sexist
5099	Would you rather the girl you re fucking have nose as long as your dick or her nipples    	sexist
5100	This bitch said idk bout u but sometimes u gotta suck a lil dick  wait even that aint helping u 	sexist
5101	  You betta beat down each one of them with your cunt	sexist
5102	  HaahHahanahA this girl stilllllll going loner ass no real friends having ass bitch YASSSSSSSSSSS	sexist
5103	  Ill send Meechy at yo hoe if yo bitch keep eyein me	sexist
5104	I m so tired of older women at work asking me if I got married because I im pregnant like no bitch and I don t plan on it	sexist
5105	I Cant Fuck Wit You No More Ho And Im Sorry You A Disloyal Ass Bitch Ho You Sorry	sexist
5106	its sad to see a fine girl be a hoe	sexist
5107	Get ur fucking knowledge up if u wanna sneak diss me Lil stupid hoe	sexist
5108	  Bitch come out you love to talk shit on the phone thats why I let your dad know she raised a FUCKING HOE	sexist
5109	  bitch that hoe mad annoying like i fr logged of your twitter bc it kept going off	sexist
5110	  fake ass bitch just like Kylie hoe 	sexist
5111	Not interested of being a bitch like you  i prefer to be a good cute girl  nak melalak melalak sorang sorang ok	sexist
5112	  you re a fucking nobody You just take advantage of people that care for you Good on you whore	sexist
5113	          Fuck off JAG you ignorant slut with your sad pink paper	sexist
5114	For an anon calling me a whore  you should look at yourself first If you want to call me a whore  take 	sexist
5115	  Girl people really do that like damn bitch you so selfish you don t wanna rt me and get me clout	sexist
5116	these hoes done called me kelly jr bitch fuck them 	sexist
5117	    and women have done the same over dick but ok girl	sexist
5118	For that dumb ass pussy that thought he could step to me  Franklin Ave anytime you wanna get it bitch	sexist
5119	  Wanna speak down to my girl bitch then step up big nose ass bitch Saw that shit off	sexist
5120	You aint no shit you lil stupid ass bitch  	sexist
5121	  AY YOU STUPID BITCH	sexist
5122	Bitch stop playing with me and drop my shit off  What u do after that aint no problem because I know they gone send u back lil whore 	sexist
5123	The bitch can go with whoever she wants now I guess I already took that V  destroyed every hole she got anyway Raw too  	sexist
5124	  guilty gear you fucking whore	sexist
5125	  Don t talk shit on me when everyone calls you a whore too boo	sexist
5126	  You work for the Sn standard practice to be a lier and a complete cunt	sexist
5127	Once a hoe cross me on some fake shit then want play victim I could never be friends again yea I forgive you but I cant fwu like that ma	sexist
5128	I saw a woman dressed up like a hot dog tonight Bitch it aint Halloween yet	sexist
5129	    You shut your whore mouth	sexist
5130	Dont involve me in no hoe buisness   rule let a bitch choose I aint never beefing bout NO bitches	sexist
5131	Fuck you you hoe I don t want you back	sexist
5132	Aint about them hoes anymoreits just you yet you talking sweet to the bitch you ALWAYS talked shit about plus  moreGMFU BRO	sexist
5133	  The women act like they dont have options Yet dick is all over When women realize there is EXCESS men is when they stop putting up trash	sexist
5134	  The cunt from where you earn a living	sexist
5135	im finna block this hoe cus bitch u weird fr	sexist
5136	    You a hoe if theres other bitches	sexist
5137	  You are the sloppy queen of sucking cock	sexist
5138	Roses are red violets are blue You a bitch ass hoe and yo momma one too   Yeet	sexist
5139	  I know you do slut 	sexist
5140	being nauseous is stupid and a pussy move like  my body just fucking vomit already you bitch let s GO	sexist
5141	  You are Satans whore Hell will welcome you	sexist
5142	This nigga is on snap fucking a bitch while she sucking somebody elses dick  bruh	sexist
5143	How you take half naked pics but you not a hoe Smh fake ass bitch	sexist
5144	get u a girl with a resting bitch face that only smiles at u	sexist
5145	I would tag your stupid ass but you bothered and blocked me so should I tag your new bitch 	sexist
5146	this hoe gone say  I want some dick but not in my vagina like girl 	sexist
5147	  yeah the stupid bitch	sexist
5148	  Your baby and boyfriend know you a hoe  	sexist
5149	  I can assure you someone very close to me worked with her for years she is an absolute cunt	sexist
5150	They really need Nerf down bitch ass symmetra with her little whore ass turrets	sexist
5151	To whatever pussy bitch that broke into my car FUCK YOUUUUU	sexist
5152	This bitch whom I wont name on Facebook is such a shameless woman ruining a relationship      	sexist
5153	        Or stop being a whore on twitch you rat	sexist
5154	straight people flirting boy takes girls phone and fucking smashes it to pieces you re stupid and a bitch girl omg Kylestooop  	sexist
5155	If you still have your seXXXy Halloween pic as your profile photo youre actually a full time all year round slut	sexist
5156	Females be thinking they Pussy fire cuz u say fuck under yo breath first of all I forgot I had a whole bitch	sexist
5157	What an absolute cock womble this cunt is Does she also alude to the fact she recieved FREE university education aswel 	sexist
5158	Good morning sweet peeps Woke up to see that Gini blocked me Her lost the stupid bitch Have a good day all I know I will 	sexist
5159	congrats slut hes yours you win 	sexist
5160	That bitch yarelis think im stupid im good bitch ur nasty as can stay fucking your cousin aint wasting my time on no hoe	sexist
5161	  being a empowering woman type a bitch on IG	sexist
5162	I honestly despise women who bitch and whine about sexism and equality yet theyre being literally just as bad	sexist
5163	Lol bitch you a hoe	sexist
5164	  He can choke and so does his bitch hoe	sexist
5165	Good bitch I m glad u got dumped he is never coming back to your life dumb bitch you a hoe	sexist
5166	  Good bitch I m happy u got dumped u a hoe stupid bitch u ugly u gonna b alone forever stupid hoe	sexist
5167	You cant be a HOE  try to come back to someone Bitch it dont work like that	sexist
5168	WHOS THE WHORE NOW YOU PIECE OF SHIT	sexist
5169	  lol plot twist what if your girl is secretly a hoe 	sexist
5170	Bitches be havin no educationno jobno house and still got the nerves to say all these niqqas want is pussy buh bitch WTF do yo hav	sexist
5171	  Its alright Julia we already know how vile you are no need to ram the point home	sexist
5172	If that bitch goin let her keep goin goin till dat hoe gone like home run	sexist
5173	I never trapped around no bitch except Te cuz hoes be showin da next nigga ya plays	sexist
5174	  First of all I m not transgender but what if I was Stupid petty ass bitch 	sexist
5175	  hi Best l see someone fucking girl comment bad in your picwhy you not block the bitch girl name kayleigh corbett	sexist
5176	This cunt likes every single post on that bitchs account and she doesnt even follow him	sexist
5177	You rawin that hoe  that pussy dirty	sexist
5178	  Bc she a stupid hoe  it s her loss I ll always be here for you 	sexist
5179	I hate when bitches be actin selfish with the pussy know damn well they out here fuckin the whole city bitch probably burnin smh the nerve	sexist
5180	my dad just drove past the chicago theater long time no see you dirty slut	sexist
5181	Ion take hoe shit from nan bitch but that s the difference between a little girl and a grown ass woman they don t know when to SHUT UP	sexist
5182	    Ive met a few women who are complete Dicks  being a dick isnt the preserve of males	sexist
5183	  So uhh what if you call a sweedish woman a slut	sexist
5184	     this whore is damn sexy   tbh this girl knew how to name her acc 	sexist
5185	He was being nice and cool You were Being an attention whore Next time explicitly say you re not interested instead of flexing for Twitter 	sexist
5186	you will never catch me out here sharing a nigga  bitch you can have that nigga  i ain t sharing no dick if I had a nigga bob 	sexist
5187	why whore when you could cookie	sexist
5188	Wanna be like u could be fucking working for him some day you fucking little slut	sexist
5189	    BITCH I AINT NO HOE	sexist
5190	  Why is this stupid bitch still relevant	sexist
5191	Tell us how big a   you are and we tell the world 	sexist
5192	  you drunken slut come play overwatch	sexist
5193	HOLLERINGGGGGGG stupid baby bitch 	sexist
5194	i skipped english a few days ago so i didn t know about an assignment and this stupid bitch is making fun of me subtlety	sexist
5195	That bitch is a Grade A whore 	sexist
5196	  a cold conniving bitch and a lesbian sorta explains why married women voted AGAINST YOU SCHADENFREUDE reigns 	sexist
5197	  You ungrateful whore   Id have bought it n everything 	sexist
5198	      Shut the fuck up you stupid ass bitch	sexist
5199	Hoes aint shit Ill die happy lonely Kuz Ill be damn if I trust another bitch who dont make her own money	sexist
5200	  You love and support this slut tho	sexist
5201	  Are you calling me a Twitter Whore Kiss indeed	sexist
5202	Be careful what you do to a good woman because you will have to deal with the bitch you created 	sexist
5203	No one cares about you agta dont be so stupid bitch	sexist
5204	i bet everyone is like damn this bitch stupid she was proposed to and she keeps calling nicky her gf not her fiance	sexist
5205	watching  teeth  this bitch pussc biting everybody dick off	sexist
5206	I pampered the bitch and she went and abandoned the kid for some amateur dick 	sexist
5208	Only a goofy bitch calls to tell you some violent ass shit a child wants to do with you cause of something their toxic ass said Dumb hoe	sexist
5209	I know And pregnant women can be a real bitch Sadly I know from experience Ah well Lifes no longer like that 	sexist
5210	I wish yall hoes with no self respect would stop putting yall sex life on twitter bitch be a lady please 	sexist
5211	 She a hoe   She ugly   She fat   Her head trash   Her pussy dry   Her pussy stank  	sexist
5212	how the hell that bitch know him hmmm she just proved to me that shes really a whore	sexist
5214	   Big slut  is the new  Hottie McHotterson  It s a compliment I ve always thought you looked like a big slut boo 	sexist
5215	My bitch so bad that I don t even go to sleep Pussy so good it make you wanna buy a ring  	sexist
5216	a girl KNOS wen a bitch likes her mans 	sexist
5217	Glad I already seen this hoe that bitch was wylin though 	sexist
5218	  Love you be nice if I could retweet ya but youre a pussy bitch on private	sexist
5219	Dirty dick ass nigga  I hope that bitch catch sum	sexist
5220	I found out something about this chick that was hiding something from me lmao bitch cant hide anything from me fake ass lying hoe	sexist
5221	These hoes do to much and these niggas bitch made LF	sexist
5222	  Leave my ship alone you whore 	sexist
5223	There is a big reason you are lonely and it s because you are such a fricken whore that no man can trust or respect you so stop bitchin 	sexist
5224	Ik that bitch was a hoe jus tried to change her but these hoes wana be hoes	sexist
5225	A fvcking bitch who is a hoe to everyone 	sexist
5226	  You have proper right for being anal whore	sexist
5227	Some women are mad arrogant man How much of a douche would I sound like if I went around saying  You just talked yourself out some dick 	sexist
5228	  You tried to spazz out on me too whore for waking your narcoleptic ass up 	sexist
5229	  Getting lit off trays of fucking Molly you mermaid loving slag  the only true response to give her	sexist
5230	Hoe just called me a Chauffeur bitch Im a shuttle driver	sexist
5231	Told the bitch I like her  her girlfriend 	sexist
5232	  June sweetie might I suggest that you tell this condescending bitch to shut her trap hole	sexist
5233	bitch youre a grown ass women 	sexist
5234	Because no one likes being a stupid bitch alone 	sexist
5235	Let me tell yall sumyall barbz who fucking wit my sis   Come talk to me bitch cause i will pull up on a hoe	sexist
5236	  fucking hoe ass fucking cunt shut ur fucking dirty ass mouth you fucking bitch im gonna fucking block you	sexist
5237	Like for one bitch you ain t never let me not any nigga I know fuck u been a paid hoe and you didn t get the  in Miami butch drown	sexist
5238	My girl make my shit solid as a rock when she kiss me you hoes just not attractive  	sexist
5239	hoes really b geeked talkin bout what frontal BITCH THAT ONE your stylist is shitty try again next time	sexist
5240	This girl really think I m dumb  bitch I know you scam stop DM me about that shit	sexist
5241	Whoever made these ya moms a mf hoe bitch  	sexist
5242	  Youre a vapid whore  one day youll be ugly and begging for dick scraps	sexist
5243	Like the hoe went to Miami s to be a hoe got sunt didnt get the money and wanted me to pay for her way back  Bitch please	sexist
5244	  I care  fuck that stupid bitch who quoted this saying nobody cares	sexist
5245	Trustttttt me  The girl ting works for him  just stay in your lane bitch  	sexist
5246	Anyone would think that Julie HartleyBrewer is jealous of rape victims the way the vacuous malicious cunt is going on about it	sexist
5247	  youre just a shameless stupid cunt get a life 	sexist
5248	  I have watched you talk out of both sides of your mouth for months now We see you Nothing but a greedy fame whore	sexist
5249	some girl really tryna pick a fight bc I was standoffish at a conference bitch Im workin	sexist
5250	  Yo this bitch is blowing my shit fr talking bout Im trying to talk to her girl shawty wont even show her face 	sexist
5251	  Oh so were talking about you My dad would always say a bitch is a woman that wont sleep with you  Classy guy huh	sexist
5252	I dont have to tell my homies not to take women cus they dont want us we just move on to the next bitch 	sexist
5253	People talk down on women who dont want broke niggas for no reason I wouldnt want a broke bitch	sexist
5254	had to block all my rl friend bc of that stupid hoe  	sexist
5255	bitch bitch dont be mad you better be glad kus this the best piece of pussy that ya man ever had  	sexist
5256	  Stupid bitch Only speaks up when it fits her narrative Yet she supported Harvey and the serial rapist bill Clinton	sexist
5257	U dont so why tweet it  the only bitch u talk to is HELLLO ME TF WHORE  	sexist
5258	Fuck off you stupid fucking CUNT OH MY GODDDDDDDD	sexist
5261	Bitch your a fucking idiot I dont even need a counter argument More like you cant take your head out your ass s  	sexist
5262	Bitch don t come to me as a woman  Cuz yo nigga came at me single 	sexist
5263	This is when a guy says something like  I don t want to date a hoe  n a woman responds with  But you n your sister got different daddies  bitch sostill not dating a hoe lol 	sexist
5264	Good pussy never comes from a bad bitch  	sexist
5265	id get on yo ass just like some britches my girl ah woop yo ho she throw dem bitches 	sexist
5266	  in this full length fur coat calling this girl a whore  bad bitch	sexist
5267	Ancient women of Greece would withhold sexual pleasure from men to end wars  Modern women make mixtapes for what they do for the dick	sexist
5268	You a childish ass bitch if u dont suck dick and u a gay ass nigga if u dont eat pussy  Idc lets argue	sexist
5269	Asked this bitch where she wanna eat she said Porkys and Im done with white women man I dont care how fire the box is	sexist
5270	your girlfriend lookin at me like a groupie in this bitch	sexist
5271	  if I get one more email from your ass ima blow that bitch up	sexist
5272	Your dick too small Bitch first of all your pussy too deep 	sexist
5273	knuckle up cause Ill fight for mines Yo pussy petty U wasting time  U seasonal part time U get fucked up fuckin w mine U lil bitch	sexist
5274	  Youre not a woman for posting that youre just a big ole bitch	sexist
5275	Bitch mad cuz I nutted quick first of all yo pussy just good so be happy	sexist
5276	Love how going to an all girls school gives you a sixth sense for life of knowing when a woman is an absolute bitch	sexist
5277	God that old lady was a cunt People are so fucking stupid when it comes to being handed money	sexist
5278	        Chill your beans you crazy bitch just because you have a cunt doesn t mean you resort straight to using it	sexist
5279	      Weird bummy ass bitch block me back whore 	sexist
5280	Treacherous traitorous bitch Sold out her country and women for money and fame 	sexist
5281	    Ask your mom you son of filthhyy pimp BTW hows your mom surviving in her Red Light District Area quarters	sexist
5282	  Lets fuck whore stepmom bitch style 	sexist
5283	i miss this bitch ass whore	sexist
5284	Now his slag mother has been blown up hopefully that lil cunt gets it nxt as well 	sexist
5285	Fuck off Holly you slag  	sexist
5286	   in  women hahahahahahaha will you ever fuck off Stupid cunt	sexist
5287	Wtf youre a skank bitch 	sexist
5288	Fellas if you have a good girl in your life cherish her and love her because most of these girlswomen rather play the Hoe	sexist
5289	Gonna be the sexiest Bat Woman in that bitch	sexist
5290	Bitch wtf u unfollow me for if u just gone twatch me and comment on what u THINK is about u hoe  play with ya pussy or sum not me 	sexist
5291	 Im a classy bitch  First of all you are a tranny street whore who jerks off  yo s off for money in Krishna Nagar during nights	sexist
5292	      domthis wouldshould be goal of the season already stupid cunt refs	sexist
5293	Jervea ass bout to really come up missing stupid hoe got me sick 	sexist
5295	great my lymph node is swollen again shows how stressed i am cos of some fucking whore  her spreadshit  stupid frens who believe her	sexist
5296	If your girlfriend doesnt like that bitch you dont talk to that bitch	sexist
5297	you stupid fucking whore mom	sexist
5298	why is this women walking outside yelling like bitch we in a white neighborhood chill out 	sexist
5299	  going to bring your Slut whore ass to the states	sexist
5300	  Do I have to fight another bitch ass looking cunt today	sexist
5301	A big sour whore bag should never play hard to get when all shes does is fling up da pussy in all kind of styles to all kinds of men  	sexist
5302	  Girl the hoe is dumb	sexist
5303	Da best piece of pussy I got was from a bitch at waffle house that hoe was from Mississippi Pussy was tight and slippery	sexist
5304	  shut up bitch no one fucking likes you Suck start a shotgun worthless cunt	sexist
5305	  Hillary Clinton does give a shit about women thats why she lied again she is now keeping all the Harvey Weinstein money GREEDY BITCH	sexist
5306	sometimes your girlfriend gets kidnapped by a bird and her bitch	sexist
5307	  Or you were just being a hoe and hurt it slut droppin on ya girl at the club xx	sexist
5308	  True slow your role bitch n get your ass outta here xx	sexist
5309	Your girlfriend is a coke whore	sexist
5310	Also Some of you Latina women and your white people racism can also eat a giant dick Cuz they dont like your ass either 	sexist
5311	I dont want to be like the jealous girlfriend who wont let you have friends bitch you have to be my girlfriend first	sexist
5312	Tonight is the Victorias Secret fashion show Let the female tweets begin about how they wish their bodies were as good  	sexist
5313	  why So you can look like a trashy mess  	sexist
5314	I dont see why some people get so offended by what i say its not like im making this shit up women really do suck	sexist
5315	RT   Sometimes I want a girlfriend but then I quickly remember how i hate women	sexist
5316	What is the difference between a woman and a catfish One is a bottom feeding scum sucker and one is a fish	sexist
5317	What does a woman and a tampon have in common Theyre both stuck up bitches	sexist
5318	RT   Everyone needs to follow   because theyre hilarious and feminists are gross 	sexist
5319	  feminists are many more things than just gross	sexist
5320	Whats the difference between your wife and your job After  years your job still sucks	sexist
5321	Women who strive to be equal to men lack ambition  	sexist
5322	Why do people make snowmen instead of snowwomen Its too hard to hollow out the head	sexist
5323	  how many Congressman dicks did women suck to finally gain voting rights	sexist
5324	  The lack of women in these pictures  just like it should be  	sexist
5325	        All   with a degree in Womens Studies should go to prison 	sexist
5326	  are invited to join the    End   today 	sexist
5327	  are naturally lazy This is why   is popular as they want privilege without responsibility  laxy	sexist
5328	Theyve made it almost impossible for Men to be dominant in the matriarchal western society fuckfeminism	sexist
5329	Pro Tip Theres nothing but sad lonely bitches at the bar drinking away their Im a lonely loser feels today	sexist
5330	Pro Tip Always call skinny girls fat they live that shit 	sexist
5331	Come up here and say somethin now you broke beggin fingers in the booty ass bitch 	sexist
5332	When you decide to trade your testicles in for a psychotic bitch 	sexist
5333	How you bitches look with your snapchat filters 	sexist
5334	I have condoms everywhere so bitches think Im responsible Lol Im not Fuck condoms	non-sexist
5335	When youre sexting a bitch and you think you dropped the fire but she blocks you and you never hear from her again 	sexist
5336	Her I thought I told you Me yo you better chill on that attitude bitch 	sexist
5337	Im only fuckin doctors and lawyers from now on At least if they go nuts I know they have somethin to lose unlike these sluts workin retail	sexist
