	text	Task1
828	Hacelo Reverendo hijo de puta No mereces ser radical ni por herencia 	non-sexist
831	Esto es para ti indocumentado       	non-sexist
834	Gorda chaconda tu eres por mi polla la mujer perfecta quiero ver todo el tuyo cuerpo da BBW mueverse sobra de mi  	sexist
835	  tu eres la escoria del pa s maldito ladr n vete s tu pa s pero no t lleves nada de dinero q has hecho en mi pa s a causa d corrupt	non-sexist
836	Difundamos Movimiento SEMEN   Un RT de ayuda	non-sexist
837	  C llate perra si ahorita te tomaste una ultra	sexist
838	  El es un cabron y la otra una zorra dependiendo de si sab a o no la situaci n del tio	sexist
839	  CALLATE PUTA 	sexist
840	que estan haciendo los dos han ense ado la polla en la cara y me la deje asi	non-sexist
842	  C llate el hocico perra b sica tu gfa y otras ciertas personas que conocemos jeje lo puse por cosas que me han pasado y ahora finalmente me han hecho pensar as  mejor ve a joder a tu minion fav ok d antemano grax	sexist
843	    C llate perra	sexist
844	  callate puta x lo menos yo tengo la custodia	sexist
845	  Te mereces eso y m s porque a mi no me dejas dormir zorra	sexist
846	como me caga que me digan te recomiendo una pelicula y me la empiecen a contar si te pregunto adelante si no callate la puta boca	non-sexist
847	Que si uno es puta que si uno es lo otro mij c llate la boca y vive y deja vivir al final la qk no es de ninguno de los que habla mierda	non-sexist
848	Sin ETA esto no ser  lo mismo Albert  c mo haremos para asustar a los paletos Lo de Venezuela ya no se lo traga ni el m s imb cil No me seas lila Pablo tenemos a los negratas y los moros que vienen por millones a quitarnos el pan joderrrr 	sexist
849	    No quer a empezar el a o puteando pero vo te mereces unas chuchas tonto sapo y la ctm rata perra culia 	sexist
850	    Buena descripci n aunque se te ha olvidado decir la puta moralina Todos tienen que ENSE ARTE y EDUCARTE con su puta moralina de los cojones Es una serie muy milenial	non-sexist
851	  Agrega puta zorra yo te uso como te mereces y te ago mas puta de lo que ya eres	sexist
853	Me ha gustado un v deo de      Por qu  tanta inmigracion hacia Chile	non-sexist
854	  Mereces Lo Peor Hija De Mil Puta Ojal  Nunca M s Vuelvas Ah Ver Ah T s Hijas Basura	non-sexist
855	Una cosilla que se me viene a la mente Se or     Por qu  en vez de pasar sus vacaciones en Moj car no se va a la valla de melilla a parar las avalanchas de subsaharianos que la saltan y a los que usted da trabajo alojamiento y subvenciones	non-sexist
856	   que los tres Garc a anduvieran detr s de la g era y que ella se quedara con el m s g ero de los  	sexist
857	Tu es que la puta rubia esa es gilipollas que le dicen callate que no es y la otra venga venga venga 	sexist
859	Sabes porque las mujeres van vestidas de blanco el dia de la boda  para hacer juego con el microondasla neverala lavadora	sexist
860	Y es que estoy hasta la polla de leer siempre en las noticias a alguien diciendo Pero no todos los hombres somos as  T o en vez de defender tu puto orgullo herido por generalizarte en algo que eres capaz de normalizar lucha apoya y haz que algo as  no sea algo normal	non-sexist
864	  Pero si t  eres la primera en poner peros cuando te digo para salir PERRA	sexist
865	Los invito a hacer un ejercicio de registro fotogr fico  cu ntas   as habr  en la   que se llamen El G ero esta es una de mis favoritas para suadero en la San Miguel Chapultepec 	non-sexist
866	  Callate que nos amas perra en celos	sexist
867	  Te estoy dando una casa para que te mejores y no dejas de poner pegas C llate de una vez la puta boca primer aviso  Ya le estaba tocando la moral con tantos impedimentos se notaba perfectamente cuando Nozomu acababa cabre ndose y no daba pre	non-sexist
868	      Y sobre c mo distinguir y separar CLARAMENTE lo que es violaci n y acoso de aquello que no lo es 	non-sexist
869	  callate puta de mierda lo dijiste por mi pelotuda olor a culo cara de culo culo en los pies culo con cara concha de culo olor a culo te llama tu mama la culo sabes culo	sexist
871	A todas mis primitas les ense aron a decirme TIA Es mi prima la puta madre PRIMA	non-sexist
872	  Callate zorra bueno ahora si me voy a dormir	sexist
874	  Tu eras un hombre de pocas palabras  con un callate hijo de puta me hubiera servido	non-sexist
876	LA MUJER ES MUY ZORRASABE COMO Y Q HACERPARA CAGAR A UN TIPOMAS SI EL TIPO ESTA ENAMORADOo es un boludoque le cree todole compra todole da todos los gustosy termina cagadoYo solo quiero recuperar a mi hijoesa minase lo llevono me deja verlo 	sexist
877	    Un imb cil que dice ahora el payaso este la zarigue a y gema de las infidelidades de Kiko Rivera eh sois escoria	non-sexist
878	 Qu  dices cerda No puedo oirte con mi polla en tu garganta ja ja ja ja ja 	sexist
879	  C llate ok Se aman d jalos vida solo hay una perra	sexist
880	  t  c llate hija de perra 	sexist
881	Estos dos moromierdas son los que han matado a Adrien RIP 	sexist
882	  Guarra es la persona que no se lava no una chica libre de ense ar lo que quiera y como quiera 	non-sexist
884	Te mereces todo lo mejor Pero no en esta Vida pinche puta	sexist
885	Ahora mirad la actuaci n de Raoul y decidme a mi puta cara que merec a quedarse frente a Cepeda DEC DMELO	non-sexist
886	  Nathan Drake es un buen polvo y tu eres una puta paja dicho eso escupi  cerca de sus pies con em ce o fruncido Ojal  la avaricia acabe contigo Rafe dicho eso le dio la espalda haciendo amago de irse	non-sexist
887	  Jajajajajaja que perra c llate  resoluci n de  poner atenci n	sexist
888	  Las mujeres son pendejas aqu  y en Francia Una cosa es el ligue y otra el acoso sexual salu	sexist
889	  NO POD S SER TAN FORRO O TAN HIJO DE PUTA Q DIOS TE D  MUCHA ENFERMEDAD DE TODO TIPO Mereces lo peor del mundo	non-sexist
890	 Qu  tiene una mujer de  entre las tetas que no tiene una de  El ombligo	sexist
892	No s  qu  ventaja le veis dejar entrar a subsaharianos a nuestro maravilloso pa s vienen a quitarnos el trabajo y nos traen olas de calor	sexist
893	Macho aqu  te llaman guarra ya por ense ar las orejas 	non-sexist
894	  Los otros se venden Ja T  eres la puta pol tica mayor Eres la Madame  Verg enza ajena das Pobres tus hijos Habr n aprendido de tu cinismo	sexist
896	              C llate puta	sexist
897	En que se parece una mujer a un cientifico En que al cientifico le pasan cosas por la cabeza y a la mujer le pasan cabezas por la cosa	sexist
898	    Una polla de  cm te hace falta para estar ocupada y no decir tonterias	sexist
899	  Callate puta cerda xao t odio puta chuky	sexist
901	Nada te pidi  tu puta opini n c llate alv Yo cuando me dan una opini n que no ped 	non-sexist
903	Ya que t  eres de mucha indirecta te voy a decir una cosa A ti nunca te van a coger para serio eres puta y la que es puta nadie la respeta No esperes m s de lo que t  no das Metete con alguien que sea igual que t  y deja a los dem s quietos	sexist
904	Fav si te vienes a dormir conmigo y te pego una patada en la cara al despertarnos por la ma ana	non-sexist
905	Mami no es que yo te quiera decir puta pero si tu eres bien putaputaputaputaputaputaaa 	sexist
907	  Justamente los violadores son la escoria de los hombres la forma m s baja de vida animal	non-sexist
908	  Callate mentiroso hijo de re mil puta	non-sexist
910	  TU ERES CULPABLE DE ESTA DESGRACIA Y QUIERES LAVARTE TU CARA MALDITA PERRA   H BLALE AL MUNDO DEL GRAN FRAUDE A LA NACI N UNA IMAGEN VALE M S QUE MIL PALABRAS 	sexist
911	  Tu callate estupida lo insulto porque me da la gana roba maridos eso es lo que eres tu maldita zorra	sexist
912	  puta pendeja zorra me cagas imbecil deja de putear pinche golfa	sexist
914	Eso y que la existencia de Internet tambi n ha motivado a muchos imb ciles a extender su acoso No es tan simple como  apagar la computadora  	non-sexist
915	Su novia es puta	sexist
916	  callate zorra del orto estoy en wilde dame bola	sexist
917	No es id ntica pero se parece en q gana el mejor tambi n se parece en q aunque tu rival sea escoria si tu eres mas escoria q el pierdes 	non-sexist
918	  callate hijo de puta q vos te diste cuenta hace  meses m ximo	non-sexist
919	mi novia es demasiado hermosa puta vida nojoda culo	non-sexist
920	  Pero en temas de Filosof a no tenenos ni puta idea Alicia est  ah  para ense arnos	non-sexist
921	Ains ya no queda buen machismo como el de antes	non-sexist
922	 SEMEN Movimiento machista internacional  nete	non-sexist
923	  no veo la correa de perra para que te traten como mereces	sexist
925	 Por que las mujers fingen cuando hacen el amor Por que se creen q nos importa	sexist
926	RACISMO ES QUE TE PREGUNTEN PORQUE ERES PRIETO SI TU MAM  ES G ERA	non-sexist
927	Me re estresa ser tan hija de puta pero a ver viejo de mierda c llate que quiero dormir	non-sexist
928	Cojer con m  novia es lo mejor que existe alta perra encima	sexist
931	le dije a mi mam  que extra aba a un pibito y me tir  los pelos jajajajajajajjaja ense andome como en los viejos tiempos perra	non-sexist
933	Para colmo le soplan puras estupideses shhiii c llate haste el tonto nooo won no digas eso puta q la cagaste 	non-sexist
934	Querido amig Godinez hoy se vale que tu caf  lleve piquete de vodka  Chingale te lo mereces  Ning n jefe en su perra vida	non-sexist
935	Desde siempre y para siempre            era     	non-sexist
936	  Vos callate zorra Jajaja	sexist
937	  c llate y deja d decir puta	non-sexist
938	Asi es nuestro periodismo Dais ascoNo mereceis q os llamen profesionales  Golfa perra  el  ltimo testimonio pone al padre de Diana en el disparadero wwwesdiariocomGolfaperraelultimotestimonioponealpadredeDianaeneldisparaderohtml v a  	non-sexist
941	 	non-sexist
942	  Hierba mala nunca muere dicen Es un pedazo de imbecil que ojala le cerraran el canal Es el LoganJake paul espa ol Escoria	non-sexist
944	   QUE NO TE PEGO UNA PEGATINA EN LA CARA NO M S	non-sexist
945	Si leo una vez m s que Victoria Donda se merec a que la repriman por PUTA salgo a los tiros	non-sexist
946	    tu puta madre no te queria ofenderpero te lo mereces	non-sexist
947	    Callate hijo de puta sos el primero en justificar y promover esta mierda	non-sexist
951	        Ser a para partirse la polla si ahora yo pongo que todas las mujeres son basura	sexist
952	      C llate puta perra despu s quieres que nosea mam n contigo puta perra deja de creerte gringa si naciste en la CDMX deseguro	sexist
954	Y si t  eres uno de los amigos que le celebra el comportamiento de esos hombres eres c mplice del acoso sexual	non-sexist
955	  Y su padre no es acusado por intento de violaci n y acoso sexual y otras agresiones sexuales Las mujeres que lo denuncian m s 	non-sexist
956	Aborto de ardilla   Jaja callate aborto de perra sarnosa 	sexist
957	    Contame cuantos casos de abuso acoso y violaci n son contados en el momento o en el mimo a o que sucede el hecho porque las estad sticas muestran que la v ctima puede tardar meses a os y hasta callarse de por vida por sentir mie	non-sexist
958	PFFFFFFFT Ya wish g era	sexist
959	  Aaaaa callate maldita perra que vos tambien me tenes abandonada	sexist
960	Afirmo con enojo que su forma est  haciendo tonter as y mal acoso en Jap n 	non-sexist
961	MACHISTA Machista  yo Machista Dios que os hizo inferiores	sexist
962	  Es verdadyo siempre acoso a mujeres de faldas hasta la rodilla y botas baqueras y el peinado tambien influye muchisimo	sexist
964	    Os merec is que la fiscal a act e de oficio por un delito de acoso laboral Alg n d a ese tipo de actos os pasar  factura Alberto director de hoy pens  que eras m s profesional pero eres tan indecente y grosero como los ot	non-sexist
965	  Suele pasar te tengo que ense ar uno donde  comentarios de  me dicen lo mismo qu  puta risa	non-sexist
966	Me encanta mi vestido de mujerzuela zorra suripanta No se los voa ense ar a n	sexist
967	Ya por fin con  libre de puntas g eras 	sexist
969	  Nos turnamos para ense arle la polla a Granados en el comedor	non-sexist
971	Y dos al musulmono una por gilipollas y otra por si la pierde 	sexist
972	Por que no se mueren manga de boludos Acoso es acoso aca y en tu culo chau 	non-sexist
975	Enferma hija de mil puta y la concha gorda que te pario soreta te mereces una muerte lenta y dolorosa te odio te odio te odio te odio gorda cinica 	sexist
976	Como no lo cago a palos un abuelo o abuela se lo merec a el hijo de puta      espero que le hagas preguntas al hueso sl pelotudo de MACRI habla del lavado de MACRI forro 	non-sexist
977	      Con q vengan muchos ya sobra aqu  Hay demasiados d todos Subsaharianos en las calles tirados manteros perjudicando comercios legales y vendiendo copias marroqu es donde trabaja el y viven la mujer  ni os y  abuelos En ciudades y pueblos estamos llenos A su casa	sexist
978	  Basta Poned pie en pared a tanta provocaci n y cortad la humillaci n de estos cuatro hijos de perra	non-sexist
979	perra est pida diciendo esas tonter as en mi tl no se or	sexist
980	La Opini n  Por qu  la industria agr cola no defiende a los trabajadores indocumentados que tanto depende   a trav s de  	non-sexist
981	  DIRAS AHORA Q ES UNA PATRA A Q TU ERES UN DIOS Q ERES INCORRUTIBLE CPNCHA DE TU PUTA MADRE LADRON PRESO TU KEIIKO Y PPK 	non-sexist
983	Una mujer denuncia acoso abuso o violaci n y la mandan a la casa Despues quieren parar los femicidios poniendoles mas pena Cuando no te da no te da	non-sexist
984	Acoso no es abuso ni violaci n Naturalizar un acoso como si nada sin mediar palabra que retracte conductas no est  ni un poco bueno	non-sexist
986	  TU TYA K ES X LA NOXE K EN TEORIA TU ERES LA LISTA MENUDA PUTA MIKERDA DE ROLEPLAY ESTASMOS AHCIENDO TUS PUTOSA MEURTOS AFASA	non-sexist
987	Lena Dunham prepara una serie sobre feminismo para HBO Afirman que se rodar  integramente en una cocina   	non-sexist
989	Mira lo qie te digo Me da igual que sea gabacha pero eso de ser Weasley como que no	non-sexist
991	tu vete a la verga puto sudaca	sexist
992	me encanta lo guarra que eres te follaria hasta provocarte un nuevo desgarro vaginal   si provocas un desgarro vaginal follando follas bastante mal 	sexist
993	Cuando venga a Uruguay yo le voy a ense ar a decir lo siento perra ahre 	non-sexist
995	Creo que a partir de ahora empezare a subir videos a yt cagandome en la puta madre de todo el que se lo merezca me voy a forrar con todo el subnormal que hay suelto Empezare ma ana	non-sexist
996	Si somos sudacas que no se note  	sexist
997	  ABU LA PUTA AMDEW FELICIDADES TE LO MERECES MUCHISIMO	non-sexist
998	Caricachupas  Presenta  Nombres de  Taquer as chidas Por ejemplo  De cochinada  Los cocuyos G eros Boturini Abanicos Ramiro Tepito De milanesa  El Papi  El paisa Cu a  	non-sexist
999	  Que panda de hijos de puta est is hechos El  nico sitio en el que merec a estar es entre rejas	non-sexist
1000	Puta escoria es quien te hace sentir as  de mal porque no te mereces sentirte as  de mal 	non-sexist
1001	  En tu culo Es mi polla	non-sexist
1002	    C llate que es de mi pueblo puta zorra	sexist
1004	  Callate que si saliste sobria maldita perra	sexist
1005	    CALLATE LA PUTA BOCA TIO	non-sexist
1006	  C LLATE ERES PERFECTO MALDITA SEA NO LE HAGAS CASO A LA PERRA ZORRA DE TIT N QUE TE VALGA PUTA VERGA LO QUE DIGA AAAAAAAAH	sexist
1010	 alguien que tenga el numero del g ero de super vale	non-sexist
1011	Baby yo s  que t  eres bien puta yo lo s   La puse en cuatro pero nunca la bes  	sexist
1012	Yo cuando alguien me dice g era 	non-sexist
1013	Cuando tu eres la  nica que sabe hacer Picoway Resolve y todas quieren que les ense es te sientes la m s perra del mundo 	non-sexist
1015	Internet se nos fue de las manos y muchas vidas la est n pagando ahora Suicidios acoso violaci n a la privacidad exposiciones innecesarias robo de identidad y no se est  hablando mucho de ello No como deber amos hacerlo 	non-sexist
1016	      T como siempre dices tonter as Lo del acoso escolar lo hab is mencionado vosotros Manipular se te da bien Y tonto eres mucho Renuncia a tu acta de diputado del parlamento de Espa a Sinverg enza	non-sexist
1018	      es callada esa zorra 	sexist
1020	  call te perra sarnosa t  hablando de corrupci ny se te olvido la salita del SIN con tu cachmontesinos	sexist
1021	 Cu ndo viajar  la mujer a la Luna Cuando se tenga que limpiar	sexist
1022	  Estuve  HORAS ayudando a mi perra para que tenga a los perritos hace  D AS que no dorm a jajaja me lo merec a	non-sexist
1023	    Zorra Montesinos asi Se llama Keiko o tu madre  Bueno todos sabemos de donde viene los tent culos o acaso eres tan fan tico para no ver como Acciona esta banda criminal  Y de Joaqu n pues espera que ya viene la prisi n pr	non-sexist
1025	  CALLATE HIJA DE PUTA JAJAJAJAJAJAJAJAJAJA	non-sexist
1027	Todos estan negados a ense arme a manejar hijos de puta ya los voy a atropellar tarde o temprano	non-sexist
1028	Eres la puta ama   Por eso soy t  esposa porqu  tu eres el puto amo 	non-sexist
1029	Apuesto que eres tan zorra que si alguien se acuesta contigo adquiere una ETS   Yo soy casi virgen asi que c llate 	sexist
1030	  No tu eres puta y casta	sexist
1034	      Lilinette es una puta Pero t  eres un amor 	sexist
1036	Por qu  se desea feliz navidad Es un puta semana de mierda ya est  bien de tonter as	non-sexist
1038	mi novia es una guarra no se ducha desde el a o pasado 	non-sexist
1039	  Es que sinceramente ni puta gracia me haces y si me insultas menos as  que callate la puta boca gracias	non-sexist
1040	  Callate si ni me mandas zorra	sexist
1041	Quiero pegarte pq est s bien imb cil y despu s darte un besito 	non-sexist
1042	A lo mejor si alguien no lucha por alguien es porque NO MERECES LA PUTA PENA no siempre es culpa del que no lucha	non-sexist
1043	me follo a los negratas	sexist
1044	Infeliz no seria un termino que el se merezca No soy Dios para juzgar pero este hijo de puta merece el infierno en tierra 	non-sexist
1045	  Rata ya te va a tocar y en tu familia una enfermedad lenta y cruel es lo que te mereces hijo de una perra porque de ah  ven snada dura para siempre Divertite ahora ya llegar  la hora	non-sexist
1046	Joooooloooovvvv soy una mancha negra en una escuela de g eros	non-sexist
1048	  Jajajajajajajajajajajajajjajajajajajaja c llate puta reventada En  a os me recibo ahre yaki	sexist
1050	  Nos vas a ense ar la polla	non-sexist
1053	    Na ma porque t  eres una perra sin coraz n	sexist
1054	  Y digo yo si se pretende dar un mensaje puramente pol tico por qu  no se lo escriben a un t o en la polla 	non-sexist
1056	Hola soy Leo y t  AHHH s  t  eres Pendejo porque MARCAS VUELTA CUANDO YA LA EST S DANDO hijo de tu puta madre	non-sexist
1057	El ministro Alejandro Finocchiaro   nos promet a Finlandia  en Educaci n hace poco con   colaborando Hoy con el AJUSTE lejos de parecernos a Finlandia estamos m s cerca de parecernos a cualquier pa s subsahariano  L stima no	sexist
1058	KAMIIIIIIIIGAAAAAA TU ERES LA AMIGA QUE SE METE LAS POLLAS DOBL S EN EL COOOOOO OOOOOOO ZORRA VETE A TOMAR POR CULOOOOO PEAZO PUTA ANDA ZORRAAAAA i sing it like Camina	sexist
1059	Pobre ni o jes s porque si le llevan lo que tu eres le va a caer tremendo comunista hijo de puta encima desde venezuela con cari o argentino sinverg enza 	non-sexist
1060	    C llate Pendejo Pinche z ngano vividor del pueblo Nos jodes con su puta   y todav a vienes y nos rega as No eres m s que un hijo de reputisima madre	non-sexist
1061	A n tengo mis dudas porque dicen que un hombre es puto por estar con hombres entonces  una mujer es puta por estar con mujeres	sexist
1062	ya c llate puta ni eres oficial  	sexist
1064	El acoso no entra en la ficci n   represent s la voz de miles de mujeres que fueron calladas fuerza	non-sexist
1065	Tambi n te estresa todo hermana y bueno gil callate la puta madre	non-sexist
1066	  no lo eres callate jode hostia puta ya no te digo la gira que estoy intentando sacar maldito	non-sexist
1067	  Exigen Perra asesina necesitamos tener te cerda hija de tu puta madre ratera como t  y los ni os con c ncer que se te olvida perra	sexist
1068	QU  ESPERAN PUTOS SUDACAS   CONTRATEN AL CALVO DE ALMEYDA TIREN PARO	sexist
1069	  el empuj n en plan c llate la puta bocaaa	non-sexist
1071	  C llate mmvg hoy te saco la puta 	non-sexist
1072	      Pues c llate ya de una puta vez que me has enviado casi  mensajes pesao Y seguro que como eres gilipollas seguir s hijo de la gran puta 	non-sexist
1073	En mi casa parece a prop sito cuando duermo hablan casi gritando los hijos de puta les voy a ense ar a respetar a facazo limpio	non-sexist
1074	Por que las mujeres van de a  al ba o por mientras una caga la otra le aprieta la cabeza para que salga toda la mierda	sexist
1076	  Le dec a C LLATE LA PUTA QUE TE PARI  INVITAME A CANTAR CON VOS NO TE DAS CUENTA QUE TE AMO DALE PORQUE YOOOO NO QUIERO SER TU NOVIAAA Y LAS PALMAS ARRIBA BIEN ARRIBA BIEN ARRIBAAAA NO ME IMPORTA TU HISTORIA ASBSBDISA EEEEE WACHO LA BIRRA	non-sexist
1077	Matt Damon critica campa a contra el acoso y la violaci n sexual  La Prensa de Honduras 	non-sexist
1078	  CALLATE son la peor escoria Malditos vos y tu partido ojal  ocupes rivotril para dormir porque no tenes una gl ndula que los HDP no tienen que es conciencia	non-sexist
1080	me pone MUY nerviosa la gente que hace unboxings de  lbumes y se queda media hora ense ando la portada y cada puta p gina colega	non-sexist
1081	    Si hay diferencia si es tu conocida y sab s que no le va a molestar no es acoso Cualquier cosa fuera de eso es acoso Fin	non-sexist
1082	  Hola H ctor con todo el respeto que te mereces que profesi n tienes hijo de puta	non-sexist
1083	  tu eres puta aqu   si no te gusta lyna tampoco para andarla insultando por el mundo estupida de mierda	sexist
1086	 Qu  pens is de este art culo 	non-sexist
1088	    S  mi putita Ll mame guarra MUERDEME LOS PEZONES ayyyys ve a buscar al ni o al cole	sexist
1089	 El maestro dec a que vini ramos en minifalda y sin bragas  el acoso sexual que hac a un maestro en la universidad  	non-sexist
1090	Y a mercurio Cuando acabe con la luna	non-sexist
1091	  callate y retoma la puta serie	non-sexist
1093	 cual es el dia de la mujer El dia menos pensado	sexist
1094	  Si vas a ense ar Ens a bien hija de tu puta madre siempre es la misma mierda PENDEJA	sexist
1095	  Genial eso de re ros en la cara de las prostitutas que hayan elegido libremente ser lo que son Sab ais que hasta se han asociado Y algunas hasta tienen estudios y deciden igualmente ejercer Qu  cosas	non-sexist
1096	Yo tenia un folio lleno de mapas que mis hermanas no usaron y me quedaban a mi y al que me pidiera 	non-sexist
1097	  C LLATE PERRA	sexist
1098	  Tu eres una zorra ladrona no me diste mi cuenta del directo buuu pasado de jaime 	sexist
1099	medio q si le dec s CRUSH al q te gusta te re mereces q no te bola nunca en tu puta vida decile ese q quiero q me rompa el orto el wacho lindo no se la cosa sana	non-sexist
1100	Mi perra me odiaes ense arle la correa pa salir a pasear y se pira corriendo a esconderse Es mas vaga que yo casi	non-sexist
1101	Sabes provocar eructos aposta sin necesidad de beber cocacola ni nada con gas   Sois una puta pesadilla 	non-sexist
1102	Nosotros como tu dices seremos gentuzatu eres una gran hija de putaadem s con pinta de zorra 	sexist
1104	ojal  poder pegarle un pu etazo a mi cerebro y decirle que me deje ya en paz macho que insistente eres c llate ya la puta boca joder	non-sexist
1105	  callate gorda babosa igual q tu perra	sexist
1107	    Poco os mereceis hijos de puta 	non-sexist
1108	  Puta tantos a os de ser bff y ni sabes que perfectamente yo te puedo ense ar 	sexist
1109	Me ha gustado un v deo de     CAILLOU ENTRA EN LA MATRIX Episodio  Espa ol sudaca HD	non-sexist
1110	  On tu eres muy perra	sexist
1113	    C llate la boca gordo hijo de puta	non-sexist
1116	Hay varias paginas de feministas a las que deberia darles verguenza exponer sus ideas ya que no tienen ni pies ni cabeza	sexist
1117	Quien co o esta votando me cago en la puta os merec is un machete en la tr quea siempre fiel a las lentejas cabrones 	non-sexist
1119	Un d a largo CALLATE HIJO DE PUTA ESTABAS JUGANDO AL P DEL	non-sexist
1120	No entiendo porque la vida es as ellos son escoriason delincuentesNosotros merec amos m s ese t tulo Que hicimos mal	non-sexist
1121	LAS GANADORAS DEL PRIMER SORTEO DE ENTRADAS PARA LA  NICA FIESTA EXCLUSIVA PARA MAYORES DE  A OS DE SUDACAampLA ISLA   FELICITACIONES NOS COMUNICAREMOS POR PRIVADO CONTIGO 	non-sexist
1122	Y tenes la cara para decir  se lo merec a  PERRA DEJAME NO DECIRTE LO QUE TE MERECES PORQUE NO ESTOY TRATANDO DE QUE ME SUSPENDAN Y LUEGO intentas venir por bts porque claro por qu  no	sexist
1123	  Callate q tu si q t presenta Pedazo d perra	sexist
1125	  Co o eh tu madre maldita perra pudrete mamagueba Tu eres culpable	sexist
1126	  Pasa buenas fiestas con tu familia tu que puedes   y callate la puta boca   Y las hostias q te deberian dar a ti por puto bocaza	non-sexist
1127	    Aunque no todos seamos violadores no la culpo en absoluto Si no eres como esa escoria no hay por qu  sentirse ofendido	non-sexist
1128	        callate hijo de tu puta madre	non-sexist
1129	  Esc ndalos de acoso sexual y el riesgo de banalizar la violaci n  v a  	non-sexist
1130	Seg n mi abuela Natacha Jaitt se merec a que le pegue su ex Por haberle hecho eso a Latorre por qu  es puta por qu  sali  tarde por qu  fue mala toda la vida 	sexist
1131	Jajajaja Qu  t os cachondos los alba iles  C mo bromean	non-sexist
1133	Laredo Texas Aseguran a  indocumentados  viajaban escondidos en cajas de carton 	non-sexist
1134	      Callate vos chupa pija te comiste  de alemania cornudo hijo de puta	non-sexist
1136	Perro   ponte a leer sudaca 	sexist
1137	  Claro por subir la foto que le d  la puta gana a su Twitter es una guarra Asocias ense ar carne con ser guarra Espero que seas de los que lleva jersey de cuello alto en pleno verano	non-sexist
1138	Al due o borracho d este coche q m acabo d encontrar abandonado en una cuneta mereces lo q t ha pasado hijo d puta X suerte nadie se cruz  en tu camino 	non-sexist
1139	          Dr En que materia lo ense aron ese vocabulario de perra de burdel	non-sexist
1140	Instan a granjeros de Colorado a  defender  a sus trabajadores indocumentados  	non-sexist
1142	Buenos d as G era solo pas  a desearte u lindo fin de semana en compa a de t  Pr ncipe Qu  se diviertan mucho y disfruten Besitos 	non-sexist
1143	 Hipocres a de Estados Unidos frente al conflicto nicarag ense  v a  	non-sexist
1144	    CALLATE PUTA DE MIERDA RESPETA AL DIOS	sexist
1145	Mecagontodo  t os en clase aprueban y llevan  min quej ndose de su nota t o que has aprobado callate la puta boca 	non-sexist
1146	Placer morboso posar la punta de mi polla en tu co o y empujar despacio sentir como se amolda a mis venas la presi n al pasar ese calor h medo que me pone tan cachondo 	non-sexist
1147	PA Q TU ME RECLAMAS HAY MILES DE MUJERES Q DICEN Q ME AMAN PERO TU ERES LA PUTA Q SIEMPRE YO MONTO EN EN LA CAMA	sexist
1148	  Escuch  muy atentamente su intervenci n y no pudo decir m s tonter as en menos tiempo No tiene ni puta idea de nada y menos de vela Te leer  en el ABC	non-sexist
1149	Applausos para ti   Muchas felicidades G era es asombroso ver y leer todo lo que has crecido 	non-sexist
1151	        Callate zorra cara de mono	sexist
1152	Buah chaval se me han saltado las lagrimas de lo bien que lo ha hecho ANA WAR ERES LA PUTA AMA TIA TE MERECES TODO Y ESTAMOS ORGULLOSOS DE TI JODER  	non-sexist
1153	Nuestra directora ejecutiva Alexandra Sossa estar  hablando en la radio sobre problemas que uno confronta en el trabajo Sintonice para mas informaci n   El show de la G era  Lunes  de 	non-sexist
1154	Que Las Mujeres Son Perras oO  No Parcero No Hay Mujer Perra Sino Cansada De Que Un Hombre No Le Demuestre 	non-sexist
1156	es muy obvio q van a perder mi hermana es una puta y tu novia es  l	sexist
1157	Lo mejor que le paso a Florida fue que hubiera competencia de Sudaca  porque ahora todos meten buenas ofertas 	non-sexist
1158	  Callate puta si vos te tomas hasta el agua de la zanja	sexist
1159	Esta chica denuncia una violaci n invisibilizada y lo que os preocupa es que diga que el agresor ten a polla Sois imb ciles 	non-sexist
1160	Siento que mi g era   vino a rompernos el estereotipo de la t a que se la pasa cuidando a sus chingos de plantas en su casa y a sus gatos	non-sexist
1164	No me viste borracha no me viste loca por nadie simplemente no me viste As  que c llate la puta boca	non-sexist
1166	  Sol an decir caca  por la boca se merec an un poco de cinta aislante pa cerrarla de una puta vez Son precisamente los actos y frases del d a d a los micromachismos m s anclados en la sociedad los que jam s nos dejar n avanzar Estas navid	non-sexist
1168	  Callate maldita zorra te extra o volve ya	sexist
1169	Y t  eres la perra mayor Hux No te muerdas la lengua  Rueda los ojos coloc ndose aquel gorro y quit ndole el polvo de encima deteni ndose de golpe frente a el  Y he acabado mi entrenamiento de hoy as  que no 	non-sexist
1170	  C llate negra de mierda Tu jefe pol tico se cago en el los jubilados cuando fue jefe de gabinete Flor de hija de puta Sos	sexist
1171	Todo tu eres bien perra mamaguevo JAJAJAJAJAJAJAJA 	sexist
1172	  C llate perra por qu  yo tq	sexist
1174	Gracias a dios mis papas me ense aron hablar bastante bien y no ando por la calle gritandome puta con amigas 	non-sexist
1175	  Vamos DIVAZA TU PUEDES  TU ERES LA MAS PERRA 	sexist
1176	a VER SI ES VERDAD Y dejando de ser un bulo se impone un poco de cordura en Europa  	non-sexist
1177	  Me olvid  un mill n de cosas pero bueno tu novia es muy doris TE AMO MUCHO ZORRA ME ENCANTAS DEMASIADO	non-sexist
1178	  Puta que sad callate	sexist
1182	  Movimiento SEMEN RT please	non-sexist
