	dataset	language	source	text	task1
1192	SCB_ES	es	Twitter	". @LuRiojas le dio un gallo de mota a @M_OlgaSCordero

Ojal? se lo haya prendido tambi?n"	non-sexist
1193	SCB_ES	es	Twitter	@fmonterrosa @EstebanMM85 @INAMI_mx @SEGOB_mx @lopezobrador_ @SRE_mx @m_ebrard @M_OlgaSCordero Es q o cuidan a los? https://t.co/EFXOuHnaqN	sexist
1194	SCB_ES	es	Twitter	RT @OscarGonzalezYa: Mi m?s sentido p?same a Marcelo Ebrard @m_ebrard por la perdida de su se?or padre Marcelo Ebrard Maure QDEP @SRE_mx #m?	non-sexist
1195	SCB_ES	es	Twitter	RT @BronstonRaqsa02: No Tenemos Porque Respaldar a La Ineptitud de AMLO!!!  Debe de RENUNCIAR, ya estamos hartos que viole LA LEY constante?	non-sexist
1196	SCB_ES	es	Twitter	@karlaresendezn @SoyNinoCanun @eruviel_avila @Emilio_Gamboa_ @YoconYunes @osoriochong @alfredodelmazo @alitomorenoc? https://t.co/2GnfyB1aWI	sexist
1197	SCB_ES	es	Twitter	RT @m_ebrard: Damos la m?s cordial bienvenida al Presidente Miguel D?az-Canel, a su distinguida esposa Lis Cuesta Peraza y a los destacados?	non-sexist
1198	SCB_ES	es	Twitter	"RT @JJDiazMachuca: Se refrend? esta decisi?n con una consulta ciudadana: @lopezobrador_ 
Consulta inconstitucional que llevo acabo sin ser?"	non-sexist
1199	SCB_ES	es	Twitter	"Urge que atienden el caso de las amenazascontra la reportera @Jannet_LP

@article19mex
@CNDH
@CDHDF
@A_Encinas_R? https://t.co/B0aGbDhypt"	sexist
1200	SCB_ES	es	Twitter	RT @M_OlgaSCordero: En reuni?n de trabajo, @SantaellaJulio, Presidente del @INEGI_INFORMA, comparti? los avances que tienen para la realiza?	non-sexist
1201	SCB_ES	es	Twitter	"RT @TaniaOrVe: @LuRiojas @Karis_si -La terna completa lleg? de Presidencia.
-La selecci?n la hizo el Senado y
-sorry, no es la hora de las?"	non-sexist
1202	SCB_ES	es	Twitter	RT @JLozanoA: Gracias, se?ora secretaria, por dejarme esta carcajada en el rostro tras un d?a tan largo. Usted siempre tan ocurrente. ?Nunc?	non-sexist
1203	SCB_ES	es	Twitter	RT @M_OlgaSCordero: Agradecemos a la sociedad civil, a los gobernadores, funcionarios locales y federales, empresarios, a todos y a todas,?	non-sexist
1204	SCB_ES	es	Twitter	"RT @Antizombies: El pais est? sufriendo una violencia incontrolable.
L?pez y sus seguidores culpan al ex presidente Calder?n. 
La CdMX est?"	non-sexist
1205	SCB_ES	es	Twitter	Somos gente que quiere trabajar como todos los demas no nos dan espacio de empleos	non-sexist
1206	SCB_ES	es	Twitter	@m_ebrard Descanse en paz....pronta resignaci?n. Abrazos.	non-sexist
1207	SCB_ES	es	Twitter	@Caralo4 @M_OlgaSCordero La APA obedec?a a la mayor?a de la ?poca. Donde las terapias de conversi?n eran el pan de cada d?a	non-sexist
1208	SCB_ES	es	Twitter	RT @eneryeco: ?Presentes en la #RAI2019! A la Reuni?n Anual de Industriales en #Le?n #Guanajuato arriba la secretaria de Gobernaci?n @M_Olg?	non-sexist
1209	SCB_ES	es	Twitter	RT @CarlosFuentesOf: @m_ebrard Marcelo te acompa?o desde Madrid  con un abrazo cari?oso por la p?rdida de tu padre. No olvido que tu fuiste?	non-sexist
1210	SCB_ES	es	Twitter	RT @MD_HO_DrAaronFC: Aqu? el desertor de la @SEDENAmx que traicion? y dio informaci?n de todos los soldados que hab?an detenido al Chapito?	non-sexist
1211	SCB_ES	es	Twitter	"RT @durcesar: Si hay m?s de 6,000,000 de mexicanos ilegales viviendo en USA, como es que esperan que no ocurran incidentes?
Tambi?n a ocurr?"	non-sexist
1212	SCB_ES	es	Twitter	RT @m_ebrard: Le? la informaci?n que publica Dolia Est?vez respecto a Victor Alberto Barreras.Estoy ordenando que el Comit? de Etica de la?	non-sexist
1213	SCB_ES	es	Twitter	@Gust_1971 @MD_HO_DrAaronFC @Hungareo @SEDENAmx @FGRMexico @SEMAR_mx @AlfonsoDurazo @SEGOB_mx @lopezobrador_? https://t.co/ShMzqHLOXR	sexist
1214	SCB_ES	es	Twitter	RT @MISANTROPO_EGO: @rebanadadsandia @PermanenteLa @m_ebrard @AlfonsoDurazo @lopezobrador_ Que crees? https://t.co/TCxEL9ZxHY	non-sexist
1215	SCB_ES	es	Twitter	RT @emp_tamaz: @angieesMORENA @epigmenioibarra @QuirinoOC @PRI_Nacional @AlfonsoDurazo @Luis_C_Sandoval @SEDENAmx @lopezobrador_ @SEGOB_mx?	non-sexist
1216	SCB_ES	es	Twitter	RT @erederbez: M?s all? de la an?cdota, lo que hace Luc?a es evidenciar lo f?cil de conseguir y lo cotidiana que es la marihuana. Urge lega?	non-sexist
1217	SCB_ES	es	Twitter	"RT @MD_HO_DrAaronFC: El compa?ero Secretario @m_ebrard, no ha permitido el nombramiento de conaul, por acusaci?n de estrupo

Ese tipo de fu?"	non-sexist
1218	SCB_ES	es	Twitter	RT @JusticieroLetal: @m_ebrard Est? en el @ISSSTE_mx como t? asegurado y siguiendo la regla de austeridad?	non-sexist
1219	SCB_ES	es	Twitter	"""La licenciada @M_OlgaSCordero tiene una aliada con las mujeres, me consta"": @lopezobrador_ 

#LaMa?aneraDeAMLO"	non-sexist
1220	SCB_ES	es	Twitter	@m_ebrard  las mejores vibras para que todo salga bien con su sr padre. Es un orgullo tener a personas preparadas c? https://t.co/Pf3pXeWy1M	sexist
1221	SCB_ES	es	Twitter	"RT @LuRiojas: ?Que qued? la favorita del presidente y no la candidata con mejor perfil? 

*pretends to be shocked* ?? https://t.co/eNpXgYMRVF"	non-sexist
1222	SCB_ES	es	Twitter	"RT @MElenaPerezJaen: Este v?deo es vergonzoso para ????
Buen trabajo @avieu ?? https://t.co/D7v5fAXd73"	non-sexist
1223	SCB_ES	es	Twitter	RT @DALBA67: BRAAAAAAAAAAAAAAAVO!!!!!!!!!!!!!   AS? SE HABLA ?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????	non-sexist
1224	SCB_ES	es	Twitter	RT @jorgeramosnews: Cuba es una brutal dictadura. Son m?s de 60 a?os sin democracia, sin elecciones multipartidistas, con ferrea censura y?	non-sexist
1225	SCB_ES	es	Twitter	?Esto es parte de las negociaciones de la Secretaria de Gobernaci?n con grupos armados que coment? ?? https://t.co/fPCVBWj72M	sexist
1226	SCB_ES	es	Twitter	"RT @OSWALDORIOSM: Nombra @m_ebrard a un agresor sexual como c?nsul en Estados Unidos

S? que a veces cuidamos demasiado el lenguaje, pero n?"	non-sexist
1227	SCB_ES	es	Twitter	Aqu? esta su presidente humanista... Imb?ciles @fernandeznorona @martibatres @M_OlgaSCordero @yeidckol? https://t.co/zBmJ9hSAqo	sexist
1228	SCB_ES	es	Twitter	RT @logflogf: @arq_yad @queretana70 @Alopezqueretaro @GerardoMalagn3 @czerjyo @SoyLeoLuna @CandidatoCero @ArqLorea @frasesfunestas @LizzDur?	non-sexist
1229	SCB_ES	es	Twitter	RT @ColibriNocturno: @AlbertoSB01 @CIDH @jguaido @MariaConchita_A @MariaCorinaYA @CP_OEA @TifaniRoberts @CNNEE @TelemundoNews Es esa su pol?	non-sexist
1230	SCB_ES	es	Twitter	Jajajaja s?lo el M?xico	non-sexist
1231	SCB_ES	es	Twitter	"@VicenteFoxQue Lo que es estar loquito y tirar mentiras...
https://t.co/jgobHuRMZl"	non-sexist
1232	SCB_ES	es	Twitter	RT @adrifadi: @isolineal @Eltiotonysoy @lopezobrador_ @POTUS @USAmbMex @CIA Y principalmente a la @USAID que es la que financia a todas las?	non-sexist
1233	SCB_ES	es	Twitter	@EmbaMexPay @elClubOlimpia @RoqueSantaCruz @Fitpar @fabiolapoblano @SRE_mx Enhorabuena compa?era Fabiola que vivan? https://t.co/2TPWM0tzPj	sexist
1234	SCB_ES	es	Twitter	No te mameeeeeeeeees!!!! ????????????	non-sexist
1235	SCB_ES	es	Twitter	@derecho_no @nenulo @M_OlgaSCordero @senadomexicano @lopezobrador_ El voto es libre	non-sexist
1236	SCB_ES	es	Twitter	"RT @CarlosLealMx: Canciller @m_ebrard le pedimos que incluya a #Mexico en las naciones que NO promueven el #Aborto.

M?xico es un pa?s #Pro?"	non-sexist
1237	SCB_ES	es	Twitter	RT @k93104502: @derecho_no @Excelsior @M_OlgaSCordero D?jenos trabajar no es un delito quiere llevar comida a nuestras casa	non-sexist
1238	SCB_ES	es	Twitter	@LuRiojas @Mx_Diputados Desv?as el tema. Ninguna ley por s? misma es la panacea para la justicia transicional. Pudi? https://t.co/auF28iqcZt	sexist
1239	SCB_ES	es	Twitter	Felicidades Javier! Te vi de lejos.	non-sexist
1240	SCB_ES	es	Twitter	RT @m_ebrard: Le? la informaci?n que publica Dolia Est?vez respecto a Victor Alberto Barreras.Estoy ordenando que el Comit? de Etica de la?	non-sexist
1241	SCB_ES	es	Twitter	@LeonKrauze @M_OlgaSCordero Est? de adorno... triste desempe?o	non-sexist
1242	SCB_ES	es	Twitter	"RT @julenrementeria: Hoy la Secretaria @M_OlgaSCordero nos llama a todos al respaldar al presidente.

Secretaria:
Mi respaldo es incondicio?"	non-sexist
1243	SCB_ES	es	Twitter	"RT @Med_DipAlmaguer: #EnTribuna
En la comparecencia del titular de @Agricultura_mex, @vmva1950, le pregunto: 
?Cu?les son las estrategias,?"	non-sexist
1244	SCB_ES	es	Twitter	RT @FelipeCalderon: De estos fariseos que se llenan la boca con ?el amor al pr?jimo? y el ?humanismo?, viene esta frase: ?No es posible ver?	non-sexist
1245	SCB_ES	es	Twitter	"No, no apoyo ineptos improvisados y sin estrategias claras.
Andr?s result? igual de inepto que Calderon, Fox o Pe?a"	non-sexist
1246	SCB_ES	es	Twitter	RT @johnerencastleg: Atenci?n se?or Pdte @lopezobrador_ @M_OlgaSCordero @AlfonsoDurazo @Morena_Partido En Jalisco tenemos un gobernador cor?	non-sexist
1247	SCB_ES	es	Twitter	RT @hernandezderas: Los invito a seguir mi participaci?n en la @Mx_Diputados, cuestionando al titular de la Secretar?a de @Agricultura_mex,?	non-sexist
1248	SCB_ES	es	Twitter	"RT @Arouet_V: ?Error del contador?

1. La fortuna de @ManuelBartlett
2. La condonaci?n de impuestos a @yeidckol, Epigmenio Ibarra y @AnaGGu?"	non-sexist
1249	SCB_ES	es	Twitter	@m_ebrard No soy paridario de la 4t pero reconozco que es lo correcto, hace a?os lo ve?a casi diario en el Vips de? https://t.co/AaivE3d1b2	sexist
1250	SCB_ES	es	Twitter	@3989_52 @SoyIsraman @m_ebrard Otra que va a ir a OEA jajaja acusar jajaja	non-sexist
1251	SCB_ES	es	Twitter	@AmloCuentas @lopezobrador_ @m_ebrard @realDonaldTrump Buen chiste pero si no saben lo que dice, pueden usar el trs? https://t.co/QGcPCn8gEJ	sexist
1252	SCB_ES	es	Twitter	RT @JSharrazkas: No acostumbro difundir este tipo de material, pero esta vez quiero que resuene en sus o?dos esto, como resuena en los m?os?	non-sexist
1253	SCB_ES	es	Twitter	@lopezobrador_ Tiene que estar @m_ebrard pq @lopezobrador_ no speak English	non-sexist
1254	SCB_ES	es	Twitter	"?C?MO PUEDE TENER ""INTEGRIDAD"" UNA EX EMPLEADA DEL LADR?N ZEDILLO, EL DEL FOBAPROA, EL DE LA ENTREGA DE FERRONALES? https://t.co/mtZVh3C1m3"	sexist
1255	SCB_ES	es	Twitter	RT @MissFernandaMex: ??Creen que todos somos idiotas!? El video que mostraron hoy no es del d?a de la detenci?n. Su ahijado trae otra camis?	non-sexist
1256	SCB_ES	es	Twitter	@JonasJAL @M_OlgaSCordero Yo creo que si.	non-sexist
1257	SCB_ES	es	Twitter	RT @M_OlgaSCordero: Acompa?o al presidente @lopezobrador_, al General Secretario @Luis_C_Sandoval,  al Almirante Secretario Rafael Ojeda (@?	non-sexist
1258	SCB_ES	es	Twitter	"RT @betsysmiling: Ejem ??... @m_ebrard @lopezobrador_ ?Dec?an que ""Trun"" los llam? para ""apoyarlos"" en su fracasada misi?n vs el chapito? ?O?"	non-sexist
1259	SCB_ES	es	Twitter	"Traducci?n
Quiero seguir con mi hueso y s? que me har?n presidenciable. 
Aparte que se puede esperar del que permit? https://t.co/l5oD6h9yG7"	sexist
1260	SCB_ES	es	Twitter	AMLO?s ?Hugs Not Bullets? Is Failing Mexico https://t.co/4jNf2gXk3v v?a @CFR_org. @m_ebrard  @hacienda_mx  @GobiernoMX	non-sexist
1261	SCB_ES	es	Twitter	@m_ebrard Disciplina, constancia y dedicaci?n QPD.	non-sexist
1262	SCB_ES	es	Twitter	"RT @LuRiojas: Qu? verg?enza, #ImagenNoticias. 
Nos secuestran, nos violan, nos asesinan, nos desaparecen, y ustedes, al servicio de la igno?"	non-sexist
1263	SCB_ES	es	Twitter	Pero no fue desde el poder. La UNTA es el mismo grupo que cerc? San L?zaro por la negativa a que se les dieran recu? https://t.co/3sRv4YJkwh	sexist
1264	SCB_ES	es	Twitter	"RT @luisghernan: Ojal? @LuRiojas le regalara churritos de mota a sus amigos del PAN, con quienes lleg? al Congreso...

Y ojal? que ellos, p?"	non-sexist
1265	SCB_ES	es	Twitter	RT @ItriaCarbajal: @beto_hernandezp @M_OlgaSCordero Voy a sonar un poquito escatol?gica, pero no nada m?s lo arrodillaron, lo amordazaron y?	non-sexist
1266	SCB_ES	es	Twitter	@M_OlgaSCordero Ojal? y ya tengan inscritos en alg?n programa social a los hijos del Chapo y a su gente para atende? https://t.co/t4icoDKUQh	sexist
1267	SCB_ES	es	Twitter	"""la honestidad valiente"""	non-sexist
1268	SCB_ES	es	Twitter	RT @CaiaLovelace: @m_ebrard No Don Marcelo, no se equivoque! Es momento de respaldar a M?xico! Deje de promover el culto a la personalidad!?	non-sexist
1269	SCB_ES	es	Twitter	RT @DoliaEstevez: @Efren_Leyva @m_ebrard Su nombramiento como c?nsul en San Bernardino debe ser revocado. M?xico no merece otro papel?n com?	non-sexist
1270	SCB_ES	es	Twitter	...tres doritos despu?s... .@SNietoCastillo buscando como chantajearlos, bloque?ndoles sus cuentas, con su .#UIF (U? https://t.co/oFUhHVz72i	sexist
1271	SCB_ES	es	Twitter	RT @m_ebrard: En este momento hay que cerrar filas,respaldar al Presidente L?pez Obrador sin mezquindades y alentar a nuestro Ej?rcito y Gu?	non-sexist
1272	SCB_ES	es	Twitter	RT @m_ebrard: Tuve el privilegio de entregar, en compa??a de la Ministra S?nchez Cordero, 89 cartas de naturalizaci?n a igual n?mero de ciu?	non-sexist
1273	SCB_ES	es	Twitter	@m_ebrard Que todo salga bien. Que tenga todos los medicamentos que requiera y los procedimientos se den en tiempo? https://t.co/CXYFUN14rg	sexist
1274	SCB_ES	es	Twitter	RT @DraAleMont: Y qu? dijo la se?ora Est?vez @DoliaEstevez de esta aclaraci?n? Ya se pronunci? al respecto o cree que todos los gobiernos s?	non-sexist
1275	SCB_ES	es	Twitter	RT @cepal_onu: #M?xico les quiere dar la bienvenida, M?xico est? viendo al Sur, quiere ser parte activa, resuelta, activa, comprometida de?	non-sexist
1276	SCB_ES	es	Twitter	"RT @Funesta: @M_OlgaSCordero Culiac?n fue un ?epic fails? del Gobierno de L?pez Obrador... 

Mi mensaje c?mo ciudadana, es:
Fallaron en pro?"	non-sexist
1277	SCB_ES	es	Twitter	"RT @Arouet_V: ?Error del contador?

1. La fortuna de @ManuelBartlett
2. La condonaci?n de impuestos a @yeidckol, Epigmenio Ibarra y @AnaGGu?"	non-sexist
1278	SCB_ES	es	Twitter	RT @Maths17058853: @derecho_no @M_OlgaSCordero @Excelsior @lopezobrador_ @nenulo El pueblo trabaja no roba es injusticia al mexicano	non-sexist
1279	SCB_ES	es	Twitter	RT @PermanenteLa: Ayer, el gabinete entero brindaba condolencias a @m_ebrard por la muerte de su padre, pero cuando se trata de polic?as o?	non-sexist
1280	SCB_ES	es	Twitter	@M_OlgaSCordero Que tal una disculpa por el presente y el futuro que tiene un panorama desolador	non-sexist
1281	SCB_ES	es	Twitter	"RT @RepDeFiFidonia: Que siempre no, mete reversa @m_ebrard al nombramiento del c?nsul violador.

#RepublicaDeFiFidonia #FelizMartes #ConVio?"	non-sexist
1282	SCB_ES	es	Twitter	"Y eso que la encuesta fue entre miembros del gabinete..!!!

#NoMmar ?????"	non-sexist
1283	SCB_ES	es	Twitter	la participaci?n completa es aun mejor que los ?ltimos 36 seg y el regalo.	non-sexist
1284	SCB_ES	es	Twitter	RT @FelipeCalderon: De estos fariseos que se llenan la boca con ?el amor al pr?jimo? y el ?humanismo?, viene esta frase: ?No es posible ver?	non-sexist
1285	SCB_ES	es	Twitter	@DorianFaMe @betsyni @m_zamarripa @Vivianolala @m_ebrard @lopezobrador_ Siempre lo eh dicho no escupas para arriba? https://t.co/CsKc3R3REt	sexist
1286	SCB_ES	es	Twitter	RT @PumaChairo: Wey, ?son minor?a y pretenden que se va a hacer lo que ustedes digan? https://t.co/ZFiiu0FcLe	non-sexist
1287	SCB_ES	es	Twitter	@LaRazon_mx @m_ebrard Jejejejeje si como no? Es el principal ingreso de los gringos, por favor!!!	non-sexist
1288	SCB_ES	es	Twitter	"Te compartimos ?Una conversaci?n con la Secretaria de Gobernaci?n? por @M_OlgaSCordero v?a @MigrationPolicy

??? https://t.co/KYqEiDGWeR"	sexist
1289	SCB_ES	es	Twitter	@LuRiojas Est?s encontrar de la violencia hacia la mujer, verdad?!! Bueno, veo q llevas un pa?uelo verde, (abortist? https://t.co/QdqIiNFeWi	sexist
1290	SCB_ES	es	Twitter	RT @malancoj: #LeyOlimpia iniciativa de la activista poblana Olimpia Coral Melo, que ha recorrido el pa?s con el af?n de proclamar una regu?	non-sexist
1291	SCB_ES	es	Twitter	RT @M_OlgaSCordero: Agradecemos a la sociedad civil, a los gobernadores, funcionarios locales y federales, empresarios, a todos y a todas,?	non-sexist
1292	SCB_ES	es	Twitter	@JesusMartinMx @PMunozLedo @M_OlgaSCordero Yo creo que s? estamos listos para una presidente  mujer, pero do?a Olga no	non-sexist
1293	SCB_ES	es	Twitter	RT @m_ebrard: M?xico avanza en la lucha por congelar el tr?fico de armas provenientes de Estados Unidos. Hoy se efectu? reuni?n binacional?	non-sexist
1294	SCB_ES	es	Twitter	RT @avieu: Si @m_ebrard ante la 74 Asamblea Gral. de la @ONU_es hablar?a en espa?ol y repetir?a el discurso del presidente (con mentiras in?	non-sexist
1295	SCB_ES	es	Twitter	RT @alejandrorodas: @M_OlgaSCordero La solidaridad es con la gente de Culiac?n no con ustedes.	non-sexist
1296	SCB_ES	es	Twitter	RT @derecho_no: Difunden en medios que organizaciones y asociaciones , Empresarios , y activistas de zonas obligaron y manipularon a ciudad?	non-sexist
1297	SCB_ES	es	Twitter	RT @M_OlgaSCordero: Lamento profundamente los hechos de violencia que se registraron en los ?ltimos d?as. Es momento de que todos los actor?	non-sexist
1298	SCB_ES	es	Twitter	RT @m_ebrard: Concluy? reuni?n convocada por el Secretario de Seguridad, Alfonso Durazo, con Embajador de EU y su equipo para congelar tr?f?	non-sexist
1299	SCB_ES	es	Twitter	"RT @Berkbekir_: "" Mi esposo Osman Karaca, ciudadano mexicano, fue secuestrado por la polic?a camboyana en conspiraci?n  con la Embajada Tur?"	non-sexist
1300	SCB_ES	es	Twitter	RT @mayraveracruz: Reacciona r?pido @m_ebrard y frena nombramiento como c?nsul en Las Vegas, de presunto delincuente impulsado por gente ce?	non-sexist
1301	SCB_ES	es	Twitter	RT @M_OlgaSCordero: Aprecio tambi?n que el Gobernador @alejandromurat est? comprometido a privilegiar el di?logo y el respeto al #EstadoDeD?	non-sexist
1302	SCB_ES	es	Twitter	"S?nchez Cordero comparte declaraciones del ministro Zald?var sobre ABC
https://t.co/nQr6SHsMoB?@M_OlgaSCordero #noticias"	non-sexist
1303	SCB_ES	es	Twitter	@JuanPayan1 @ChumelTorres @lopezobrador_ @M_OlgaSCordero Sim?n, pero no esta chido decir que se politiza el asunto,? https://t.co/T6PlYoRQSe	sexist
1304	SCB_ES	es	Twitter	@LillyTellez @LillyTellez se?ora y el se?or @ArturoZaldivarL no est? sucio o ya lo est?n protegiendo tambi?n la se? https://t.co/MLAuxe81N0	sexist
1305	SCB_ES	es	Twitter	Este es el que anda matando a la Marcela ? Claro no est? confirmado solo son rumores !	non-sexist
1306	SCB_ES	es	Twitter	RT @LeonKrauze: Culiac?n y la raza negra. Aqu? @JorgeGCastaneda sobre las ABERRANTES declaraciones racistas de Gardu?o, el hombre que dirig?	non-sexist
1307	SCB_ES	es	Twitter	RT @hdemauleon: Aunque usted no lo crea, los paladines de la 4T acaban de descubrir que s? hacen falta los albergues que ellos mismos se en?	non-sexist
1308	SCB_ES	es	Twitter	"Pl?stico: Armaged?n del mar
Para 2050, se esperan 25 mil millones de m3 que ser?n dispersos en mares, lagos, r?os,? https://t.co/HpZmq5nRQ7"	sexist
1309	SCB_ES	es	Twitter	@monicagarzag @jonathanchait @m_ebrard Entonces qui?n miente? Todo un show	non-sexist
1310	SCB_ES	es	Twitter	RT @evillegasme: Mis sentidas condolencias, @m_ebrard, para ti y tu familia por esta p?rdida. Un abrazo en solidaridad. https://t.co/xyBQjC?	non-sexist
1311	SCB_ES	es	Twitter	RT @lointento11: @yllahte @orazioaguirre @angelica9091 @Iguanabite58 @AlexLora_ElTri Pero feli$ feli$ feli$ el #AmloPadreDeLaImpunidad @lop?	non-sexist
1312	SCB_ES	es	Twitter	RT @omarfayad: Reconozco el trabajo por nuestra ni?ez emprendido por el @GobiernoMX, a trav?s de la Secretaria de @SEGOB_mx, @M_OlgaSCorder?	non-sexist
1313	SCB_ES	es	Twitter	RT @ArcadiaPolibio: 426 entre los que destacan ustedes @la_soyla @chiquitiwow07 @cast_sugar @Idara_33 @gabyhback @halezi_k @PicazoRivero si?	non-sexist
1314	SCB_ES	es	Twitter	RT @Milenio: #LadoB | ?C?mo @LuRiojas se involucr? en el activismo? Ella lo responde en entrevista con @fer_damian https://t.co/Yky9EjOjbv?	non-sexist
1315	SCB_ES	es	Twitter	RT @XochitlMagaa2: @derecho_no @lopezobrador_ @M_OlgaSCordero @senadomexicano @ONU_derechos @ONU_es @NoticiasONU @ONUMujeres @ONUMedioAmb @?	non-sexist
1316	SCB_ES	es	Twitter	"RT @linokorrodi: ?No podemos permitirlo!
@JosefinaVM @MaluMicher @senadomexicano @AlfonsoDurazo @lauratenacolung @SCJN @CDHDF  @CIDH @ONUMu?"	non-sexist
1317	SCB_ES	es	Twitter	@robertoval_ @bbienestarmx @Hacienda_Mexico @Profeco @BobAnnibaleCiti El 1er foro de este tipo se celebr? en 2013,? https://t.co/8d7xqlO9Rh	sexist
1318	SCB_ES	es	Twitter	"RT @PedroFerriz: La Secretaria de Gobernaci?n, @M_OlgaSCordero, admiti? estar en constante comunicaci?n con Carlos Romero Deschamps.
Se neg?"	non-sexist
1319	SCB_ES	es	Twitter	@AngiegalvanV @alora62 @CarlosLoret @m_ebrard Si castiga, pero creo que la muerte de este se?or tiene m?s que ver c? https://t.co/5ZZXgmE77R	sexist
1320	SCB_ES	es	Twitter	"Los alcaldes tienen que ir a Palacio Nacional porque en Gobernaci?n no hay nadie con poder que les resuelva.
La enc? https://t.co/ysFHd85tcF"	sexist
1321	SCB_ES	es	Twitter	RT @Gerardo14461097: @econokafka @SRE_mx @m_ebrard Y los floreros de la @SFP_mx y @SEGOB_mx no deber?an pronunciarse al respecto?	non-sexist
1322	SCB_ES	es	Twitter	"RT @Carloslopezjone: Par?s ?? we have a problem!!! ?????????

Por favor, exp?quenle a la Sria @rocionahle que los Acuerdos de Par?s, se deben c?"	non-sexist
1323	SCB_ES	es	Twitter	@GranchErick @EdwartRolfi @LuRiojas @M_OlgaSCordero Jajaja hay gente que hace preguntas muy raras jajajjaj	non-sexist
1324	SCB_ES	es	Twitter	RT @arr1910: ?Cu?l lucha contra el crimen organizado? https://t.co/aGBGu3ga1W	non-sexist
1325	SCB_ES	es	Twitter	RT @SBrook_: La derecha rancia quiere que el gobierno de M?xico se adhiera a las pol?ticas de pa?ses como Arabia Saudita que bombardea a ni?	non-sexist
1326	SCB_ES	es	Twitter	RT @mcmaricarmen: Si Estados Unidos no pone ning?n l?mite a la venta de armas en su pa?s  ?va realmente a poder congelar el tr?fico il?cito?	non-sexist
1327	SCB_ES	es	Twitter	@M_OlgaSCordero @lopezobrador_ ?Poorrrrr? ?Es al rev?s, no? ?Es momento de exigirle severamente ?ora! ( Y a Vd tamb? https://t.co/JTXEmMUbvl	sexist
1328	SCB_ES	es	Twitter	@lopezobrador_ @AlfonsoDurazo @tatclouthier @yeidckol @mario_delgado @m_ebrard @M_OlgaSCordero son una verg?enza pa? https://t.co/22AXmAwSON	sexist
1329	SCB_ES	es	Twitter	Esperando la conciencia NO les deje dormir Buenas Noches @lopezobrador_ @AlfonsoDurazo @M_OlgaSCordero? https://t.co/SGwZiXpDst	sexist
1330	SCB_ES	es	Twitter	@Im_jsr98 @LuRiojas @M_OlgaSCordero @COFEPRIS Igual, no esta permitido regalar marihuana, ya sea de payasada, de ri? https://t.co/SfcklnSFP5	sexist
1331	SCB_ES	es	Twitter	"RT @ferbelaunzaran: Es evidente el poder absoluto de @lopezobrador_ entre sus compa?eros.

Que no insulte nuestra inteligencia, no somos pe?"	non-sexist
1332	SCB_ES	es	Twitter	@vampipe @M_OlgaSCordero @Claudiashein Por favor, agr?gale acento a la I. Si no lleva acento es un condicional. Sup? https://t.co/UEg4Fkwj7n	sexist
1333	SCB_ES	es	Twitter	@USEmbassyMEX @m_ebrard @AlfonsoDurazo @USAmbMex Creo m?s en usted embajador que en L?pez y en Durazo. Gracias ??	non-sexist
1334	SCB_ES	es	Twitter	@LaMacuspanita @m_ebrard @lopezobrador_ Se les olvid? Jalife!	non-sexist
1335	SCB_ES	es	Twitter	Esos son los verdaderos vientos de cambio, la corrupci?n nunca termin? con el PRI, solo se transform? en algo m?s p? https://t.co/qpPmGgXsy9	sexist
1336	SCB_ES	es	Twitter	RT @EDUCA_Diva: No BUEEENNNOOOOO, el Presidente ?nos ense?? a bloquiar como manifestaci?n, ?l as? le hacia?... ???????????? @lopezobrador_ @Claud?	non-sexist
1337	SCB_ES	es	Twitter	@GusVillegas @lopezobrador_ @AlfonsoDurazo @ArturoZaldivarL @JRCossio @SCJN @M_OlgaSCordero ?Los dos! sin duda	non-sexist
1338	SCB_ES	es	Twitter	RT @CarlosLoret: Dos mexicanos fallecieron en #Kansas. https://t.co/myMY6Qa2DL	non-sexist
1339	SCB_ES	es	Twitter	@alvaro_delgado @ManceraMiguelMX Jajajajajajaja insisto, es lo que le gusta a los ignorantes feligreses de la 4a de? https://t.co/HOQZhpCaJu	sexist
1340	SCB_ES	es	Twitter	Ayer vi a @LuRiojas y me dio mil de pena hablarle?????	non-sexist
1341	SCB_ES	es	Twitter	@hugopaezoficial @GobiernoMX @lopezobrador_ @m_ebrard @realDonaldTrump De hueva tus argumentos!!!! Cero de creativi? https://t.co/ySav7hocBl	sexist
1342	SCB_ES	es	Twitter	RT @SRE_mx: ?? Se celebra la Segunda Sesi?n Ordinaria de la Comisi?n Intersecretarial de Atenci?n Integral en Materia Migratoria (CIAIMM), e?	non-sexist
1343	SCB_ES	es	Twitter	"RT @Vampiroperver: Y el juez dijo ""q regrese a la vida"" y la notar?a lic.raul name Neme revivi? al padre d don Arturo: regreso a la vida e?"	non-sexist
1344	SCB_ES	es	Twitter	RT @USAmbMex: Muy importante el tema del flujo ilega de armas y dinero de EEUU a M?xico-como vimos en Culiac?n, son la ra?z del poder del c?	non-sexist
1345	SCB_ES	es	Twitter	@m_ebrard @Sheldor07 Una de las tantas cosas que me vale verga as? como a ustedes el. Pa?s, un par?sito menos que mantener	non-sexist
