	dataset	source	language	text	task1
885	MeTwo	Twitter	es	Quiero estar con vos. No un rato, no un día. Quiero estar con vos en tus días buenos y también en los peores. Estar con vos, así de simple.	non-sexist
886	MeTwo	Twitter	es	La zorra se me echó a perder la cámara del celular y llevo 2 días de mi viaje pre intercambio 🙃	non-sexist
887	MeTwo	Twitter	es	Le buscáis las tres patas al gato a TODO macho. Acabo de ver una foto en la que alguien decía 'la mejor creación que puede hacer una mujer' o algo así junto con fotos de bebés. Y le cita alguien poniendo cosas como 'una mujer puede crear obras de arte, tal...' Tio, crear una	non-sexist
888	MeTwo	Twitter	es	Me apena que las mismas mujeres no se ponen de acuerdo para defender sus derechos. ¿Cómo una mujer condena a otra que no quiere morir?	non-sexist
889	MeTwo	Twitter	es	"@maxikron No no! No soy amante de esa señora, podría ser mi abuela.
En todo caso pareciera ser que es tu ex. Hablas como una mujer despechada. Tanto odio tenes que no podes justificar absolutamente nada de lo que expresas."	non-sexist
890	MeTwo	Twitter	es	Me siento como una mujer arriesgada😂	non-sexist
891	MeTwo	Twitter	es	"Su cara de felicidad. Por favor. 
""En el escenario juega como una niña de 5 años""
Es que el escenario es como su casa 😍 https://t.co/S03IWlFtAG"	non-sexist
892	MeTwo	Twitter	es	Mi suerte en el amor es tan nula que me gustaría que alguien de mis crushes me dijera “es que pareces una puta loca cuando me hablas” para saber porque nadie me ha hecho caso nunca	non-sexist
893	MeTwo	Twitter	es	@olgadancer18 Estás loca del coño pero🖤	non-sexist
894	MeTwo	Twitter	es	"🎉🎶🔝😎🔥☀️🏝
Este sábado 18 @universiclub llega a takosykopas para vivir una noche llena de locura
———
-100% música comercial
-Concursos sobre el escenario
-La animación más loca del… https://t.co/gRKAblTNO3"	non-sexist
895	MeTwo	Twitter	es	El casting para ser chica Bond se multiplica. https://t.co/Ibzhw8lfos	non-sexist
896	MeTwo	Twitter	es	La neta si soy bien mujer al volante 🤷🏻‍♀️	non-sexist
897	MeTwo	Twitter	es	Iba todo tranquilino repartiendo lechuga fresca, cuando una mujer al volante me interceptó para venderme ropa. https://t.co/F4I8CmInfZ	non-sexist
898	MeTwo	Twitter	es	"@Peepaa6 @cdohrlancero @MashiRafael @AniMeGalarza @Martinminguchi @adrygdlt @shababaty @andrespaezec @FFAAECUADOR @CarlosVerareal @HernanUlloa @VillavicencioFV @economista33 Si le dices meco por decir eso imaginate a q nivel de mariconada estaba un tipo q le tenía odio a las mujeres y les decía gordas horrorosas o tratarlas de esa gatita q x tener ojos de color...
Lagaña en ojo ajeno inca mijita 🤣🤣🤣🤣🤣🤣🤣"	non-sexist
899	MeTwo	Twitter	es	@ginesggarcia Su religión es el odio a las mujeres.	non-sexist
900	MeTwo	Twitter	es	No se por que pero las mujeres de hoy en día se visten como mujeres mayores , y no entendemos por que? por que se visten de viejas?	non-sexist
901	MeTwo	Twitter	es	Carvajal llora nenaza JAJAJA	sexist
902	MeTwo	Twitter	es	"@Darekoto Ve a la cocina, pregunta por el responsable, siguele a su casa, déjale una mierda en un plato delante de su puerta y ponle una nota que diga: ""esto es lo que sirves, cómetelo"".
Y luego le apuñalas."	non-sexist
903	MeTwo	Twitter	es	odio que me entre hambre a las 12 de la noche porque no quiero bajar a la cocina a coger algo	non-sexist
904	MeTwo	Twitter	es	@ByDaniPro03 @NakoWhiteDeity cuéntame, cómo los hombres analizan su masculinidad? deconstruyen sus estereotipos? cuestionan sus privilegios? no me queda claro, lo único que veo es que se burlan de las feministas (así como tu)	non-sexist
905	MeTwo	Twitter	es	"@Irecersan @FrayJosepho Si @lrecersan fuera un hombre y hablara así de una mujer y no de @perezreverte, las feministas ya estarían denunciándola/le por tratar a @perezreverte como un objeto de deseo 

Menos mal que a los hombres nos queda l'insupprtable légèreté de l'être 😂"	sexist
906	MeTwo	Twitter	es	@SantiCruz Bueno así como una niña puede sentirla tan dentro, bueno así es con tu música, .. ves? Así de claro así de preciso así de sentido.	sexist
907	MeTwo	Twitter	es	"“Estas loca del doble coño.”

Nueva expresión válida por @JRhodesPianist"	non-sexist
908	MeTwo	Twitter	es	@DianaPatane @mariuvidal Y encima está muy aliviada. Por suerte las mujeres que deciden abortar en su provincia se mueren nomás, sin generarle ningún costo a su gobierno. Es única en serio!! Pedazo de energúmena mojigata!!	non-sexist
909	MeTwo	Twitter	es	"Del 21 al 23 de Se(p)tiembre: La Mojigata en Argentina

21 de Septiembre 21hs (Mar del Plata)
La Mojigata y la Miseria
Teatro Auditorium sala Astor… https://t.co/6aDI3dNYm4"	non-sexist
910	MeTwo	Twitter	es	@SCJN Pinche vieja lagartona , tomenle el nombre y cuando ocupe un amparo denle puro chile por ojarasca @elanafre @angulartaller	sexist
911	MeTwo	Twitter	es	Me encanta la bio de @oscarbb_, porque detalla perfecto la lagartona cementera que es.	sexist
912	MeTwo	Twitter	es	"He llegado a la conclusión de que siendo un poco egoista, todo este movimiento ""feminista radical / feminazi / hembrista / como quiera llamarlo cada uno"" me favorece y todo... +"	sexist
913	MeTwo	Twitter	es	@alonso_dm @fray_fanatic Una tarada feminazi y sectaria que si no da que hablar, revienta	sexist
914	MeTwo	Twitter	es	si, sonas troskoanarkokirchnerista y feminazi además https://t.co/WtIt9RnnXS	sexist
915	MeTwo	Twitter	es	A toda hostia a la cocina a por algo de comer https://t.co/qJSEsS0gUx	non-sexist
916	MeTwo	Twitter	es	"Yo: Ma', me quiero cortar el pelo super corto

Mi madre: ¡ni de coña que luego te vas a arrepentir! Además ¿por qué te vas a cortar el pelo? Que luego vas a parecer una marimacho con la forma en la que te vistes. Definitivamente NO

Y luego dicen que mi madre es genial... https://t.co/yYs8ko6EYz"	non-sexist
917	MeTwo	Twitter	es	@LynaFails que inútil eres niñata	non-sexist
918	MeTwo	Twitter	es	Chega un punto no que unha non cala ante señoros que gritan “mujer tenías que ser”. Porque recordade: caladas non estamos máis guapas.	non-sexist
919	MeTwo	Twitter	es	en tus días malos,te voy a querer todavía más	non-sexist
920	MeTwo	Twitter	es	"""La envidia es como una mujer roncando...""
-Es mejor despertarla que sentirla-
😂🙌🏼

By. @Dantegebel3 
#Monologo #LaEnvidia #DanteNigthShow"	sexist
921	MeTwo	Twitter	es	@xTheNomad « tormenta de nieve y crear ilusiones duraderas. Aun cuando ella fuera una mujer que podía fundirse en las sombras y plantar cara a las batallas, en verdad se sentía como una niña inexperta a su lado. - Claro... por supuesto... - Asintió en »	non-sexist
922	MeTwo	Twitter	es	"Como me rompe las pelotas esos comentarios de tipico machito nefasto:""sos una señorita no podes hacer esas cosas"" ""tenes que lavar los platoses tu responsabilidad "" ""como te vas a poner eso? pareces una puta""."	sexist
923	MeTwo	Twitter	es	"Que molesto que son los vagos que le dicen a su novia ""ponete algo más suelto, que se te nota todo y pareces una puta"" bue flaco se pueden vestir como ellas quieran, se tienen que sentir cómodas ellas no vos"	sexist
924	MeTwo	Twitter	es	Mi gran duda es ¿hay que tener buen culo para ser chica del clima/noticiero, o ser chica del clima/noticiero para tener buen culo?	sexist
925	MeTwo	Twitter	es	"El día de hoy me di cuenta lo mucho que me miento día a día diciendo ""ya ahora si mañana voy al gym"" soy demasiado gorda como para ser chica fitness."	non-sexist
926	MeTwo	Twitter	es	@xoxdalia Por eso las mujeres no deberían de manejar lo único que hacen es andar provocando a los hombres ay y encargo no es todo nuestra culpa ok 😉 😉	sexist
927	MeTwo	Twitter	es	Las mujeres de hoy en dia que !!!!! jumm, siempre esperando a que les den algo, o que se las coman	sexist
928	MeTwo	Twitter	es	"100. Anita, la gorda lagartona, no traga la droga latina 
#JuegoDePalabrasDiario
#PalíndromoMásÉpicoJamásCreado"	non-sexist
929	MeTwo	Twitter	es	Como toda buena aventura, ha empezado en una taberna, pero esta vez mis jugadores le prendieron fuego a la cocina y casi matan a la tabernera. #DungeonsAndDragons #Rol	non-sexist
930	MeTwo	Twitter	es	Ah po déjame ponerme a fregar. https://t.co/zVCLwOE5HI	non-sexist
931	MeTwo	Twitter	es	@CintiaVi1980 @OPINEMOSHOY Es un marimacho. Asi quieren verse	non-sexist
932	MeTwo	Twitter	es	@GDiputado La versión macho, xq la marimacho ya la vimos en Gt antes	non-sexist
933	MeTwo	Twitter	es	@DeluxeSabado Que vergüenza ,un hombre como un castillo dando chance a una niñata que está más sumbada que una maraca y con esa voz tan desagradable ,esos ojos que no ve nada ,por favor Carlos se un hombre y aprende que quien nos niños se acuesta meado se levanta ,que se quede en Peru	non-sexist
934	MeTwo	Twitter	es	Déjate los gatos niñata.	non-sexist
935	MeTwo	Twitter	es	@juan_ancap @RealFranD @Argu_Lucas @carmueller @jdoedoe101101 Y ahora simboliza a cualquiera que no sea progre, según las feministas ajajaja	non-sexist
936	MeTwo	Twitter	es	Zarpado sida me da la hipocresía de las feministas dios	sexist
937	MeTwo	Twitter	es	@ayMeliina Andas en tus días o porq andas más odiosa que de costumbre? Jajajjaja	sexist
938	MeTwo	Twitter	es	@VaronesUnidos Biologia se llama eso..haganle saber a la bolude esta..obvio que si te violan te vas a quedar embarazada si estas en tus dias fertiles	non-sexist
939	MeTwo	Twitter	es	"@Shaquista98 @nhoaa24 Dile : la única zorra aquí eres tu Imbècil.

Y le das un besi en la frente pa que pierda"	sexist
940	MeTwo	Twitter	es	¿Alguien ha pensado que tal vez Anna Todd tiene una relación súper tóxica con su marido y esa es la razón por la que cree un romance tan radioactivo como el Hardin y Tessa es amor verdadero? Digo, de otra manera no se explica como una mujer adulta puede escribir libros así.	non-sexist
941	MeTwo	Twitter	es	@CHVNoticias Pueden subir la entrevista del flaite que abandonó a su hija? Quedé impactado... Como una mujer puede tener hijos con weones así	non-sexist
942	MeTwo	Twitter	es	@pabloalboran Creo que aún no soy capaz de darme cuenta de lo que acabo de vivir. He visto a mi familia unida y emocionarse después de mucho tiempo. He llorado como una niña con mi canción favorita de amor y es todo gracias a ti. Gracias por hacerme feliz💙 https://t.co/3Nxi2Uo5Fa	non-sexist
943	MeTwo	Twitter	es	Soy como una niña, me emociono con cualquier detalle, me molesto sin razón o por capricho...	non-sexist
944	MeTwo	Twitter	es	@Rodr11k @joseyuri10 @DiarioOle Uuhh mira qien apareció, la novia de Fressi.. jajajaj con esa cara de puta loca a quien qeres decirle boludito?? No te maqilles la cara qe pareces una puta de cabaret	sexist
945	MeTwo	Twitter	es	Pareces una puta bolsa con agua, no te queda lo mamona... 😒	non-sexist
946	MeTwo	Twitter	es	"Más no basta un apellido... para ser mujer leal!! 😌

Me echo un palmazo con el? 😎 https://t.co/1CE2Xgm6m4"	non-sexist
947	MeTwo	Twitter	es	"Mucho corazoncito verde, mucho feminismo, pero bardeas a las mujeres q suben foto de pancita??

Ah claro, sale uno a refutarte y en lugar de entablar un debate o discusion, bloqueas.

Fabuloso Malena, fa-bu-lo-so.

Hipócrita. https://t.co/cPSN4nUu4e"	sexist
948	MeTwo	Twitter	es	"No, en todos los casos nos pasaron a fregar, pero aman vivir sometidos.

Nunca abandonaremos ésa mentalidad colonial? Insisto México el caso más grave de síndrome de Estocolmo. https://t.co/JHRgvJp3NK"	non-sexist
949	MeTwo	Twitter	es	@PotiPotiInLove Fijo que su madre también era de las que se ponían a fregar el suelo cuando a ellas les daba la gana sin preguntar ni nada y luego ni te dejaban pasar hasta que no estuviera seco. Era la jefa claramente.	non-sexist
950	MeTwo	Twitter	es	@carmencicuta @Iennicet Otra cosa no será, pero Jenny os pega unas 500mil vueltas currando a la mayoría de las feministas New age que no han pegado palo al agua en su vida. Anda que no la podías haber cagado más.	sexist
951	MeTwo	Twitter	es	"CÓMO UNA MUJER CON
ASPECTO ROMO PUEDE
LLEGAR A VIVIR CON UN
RICO SINO PORQUE ES UN
ASOCIAL

Que no tiene filo ni punta
Sinónimos: boto, mocho, obtuso"	non-sexist
952	MeTwo	Twitter	es	La loca del ETS digo bts. https://t.co/rryjHbigDI	non-sexist
953	MeTwo	Twitter	es	Hola Doc, te cuento que comencé a tener relaciones hace poco tiempo pero ya termine con ese chico... estoy saliendo con otra pe... — Mijaaaaaa, no seas mojigata chica... Que te importa que sea promiscuo... Ponle condon y listo...y... https://t.co/Dg3DbzYbZV	non-sexist
954	MeTwo	Twitter	es	"Hasta el coño de ver a gente en insta quejándose de ""mucho feminismo pero no os quejáis de entrar gratis a las discotecas"" mira de verdad que nos llevamos quejando mucho tiempo ya, unfollow para ti por gilipollas"	sexist
955	MeTwo	Twitter	es	"- qué tiene que ver qué hayas nacido prematuro?
- tu mamá estaba feliz de tenerte
- a las mujeres hay que respetarlas porque son PERSONAS, no porque den a luz, NO SOMOS INCUBADORAS
- a nadie le importa si vos te sentís o no “con el derecho” porque NO TENÉS ÚTERO. https://t.co/grn9Darrvl"	non-sexist
956	MeTwo	Twitter	es	"@TitularSV @DOMINGOARCE8 Para entender la diarrea y ataques de ansiedad de NAYIB BUKELE ante la corrección que le hizo la Embajadora canadiense deben tomar en cuenta que ese sujeto es un misógino y su odio a las mujeres es más que evidente.  

Recordemos que ante declaraciones de Trump nunca reaccionó."	non-sexist
957	MeTwo	Twitter	es	@Archie_clima Y guapo... 🤔.. cuídalo capi de una k otra lagartona.. me han contado 🤣 éxito!	sexist
958	MeTwo	Twitter	es	@anasxfia_ Ya ves @Mau_Salazar  lagartona alejate de su hombre	sexist
959	MeTwo	Twitter	es	@LevenBanner + hace lo contrario.- Muchas gracias, tesoro... -te digo, haciendo que me sigas mientras camino.- Ahora te la enseño mejor, para que la veas -digo, guiñándote un ojo mientras vamos a la cocina.- Tengo la casa un poco revuelta, perdóname... -me excuso por ese desorden al que no +	non-sexist
960	MeTwo	Twitter	es	"Mi hijo ama las nuggets de pescado. Yo no puedo entrar a la cocina. El ""aroma"" me da náuseas 😷"	non-sexist
961	MeTwo	Twitter	es	Buscad mujeres con valores. No prestéis atención a ninguna niñata feminista. No os relacionéis con ellas, salvo para educarlas. No dejemos que nos coma el NOM.	sexist
962	MeTwo	Twitter	es	No sentirte depre cuando andas EN TUS DÍAS CHALLENG 🙃🙃🙃	non-sexist
963	MeTwo	Twitter	es	Hoy esta cumpliendo años, una persona muy especial en mi vida! Hoy creces cada día más mi pequeña y solo le pido a Dios que guíe tus pasos, que te enseñe a escoger buenos caminos, que nunca que te abandone en tus días grises y que anhelo verte siempre feliz! Te amo ❤️ https://t.co/oJeBeXkFyc	non-sexist
964	MeTwo	Twitter	es	recuerdan esa vez q m sacaba nudes y en una mi gata le encaja una piña a la cámara comoolvidar era el reflejo d mi mama gritandome ParecES UNA PUTA BARATA ¿¡¡¡¡ https://t.co/OCsIAwLvkV	sexist
965	MeTwo	Twitter	es	@HenkelGarcia Esto resume lo que se desea en esta jornada loca del día de hoy	non-sexist
966	MeTwo	Twitter	es	@Martinminguchi Es parte de la enfermedad mental que tiene la loca del ático, el típico peleador de barrio bajo, montonero  que por si solo nunca se atreve a enfrentar como hombre, eso demostró cuando el periodista lojano  lo enfrentó y tuvo que llamar a sus matones.	non-sexist
967	MeTwo	Twitter	es	Tía Aguakatha ahora que ya sabemos quién es la loca del sexo con cuchillos, piensas practicarlo? — Si es con beibied entonces sIIJOLE KHE?! https://t.co/9rdNUEFuu4	non-sexist
968	MeTwo	Twitter	es	@MagdalenaProust Sólo le falta un tattoo de una mariposa en el hombro para ser mujer a la moda ... cuando se entere por la Lomana que el feminismo no es una pamela... vamos a estar en problemas...	non-sexist
969	MeTwo	Twitter	es	"-Oye y esa chava tiene estudios para ser chica del clima?
-Termino apenas la preparatoria, pero coje rico
-Muy bien ponla en horario estelar."	sexist
970	MeTwo	Twitter	es	"-Oye y esa chava tiene estudios para ser chica del clima?
-Termino apenas la preparatoria, pero coje rico
-Muy bien ponla en horario estelar."	sexist
971	MeTwo	Twitter	es	Esta actriz confiesa que se negó a desnudarse en su audición para ser chica Bond. Y por cierto, consiguió el papel 💪https://t.co/i0H0jMoYkH https://t.co/W6jWWhEB5b	non-sexist
972	MeTwo	Twitter	es	@FaingolaMarcelo Lo estoy escuchando desde temprano y vengo sacando la conclusión de que es el año más redondo de la mojigata.	non-sexist
973	MeTwo	Twitter	es	Mujer al volante, peligro constante	sexist
974	MeTwo	Twitter	es	"Estar tranquilamente grabar video/editarlo/hacer la mini durante dos horas cuando de repente entra una cucaracha al cuarto.
Coji el portatil corriendo, cerre la puerta y me fui a la cocina a seguir haciendo lo mio
Historias para no dormir"	non-sexist
975	MeTwo	Twitter	es	"Me sigue @mortimeroficial !

El día de la fregada llegó!

Vamos a fregar al congreso!

#21ATodosAlCongreso 

#21AEnTodoElPais 

#21AEsAhoraONunca"	non-sexist
976	MeTwo	Twitter	es	@ErikaSalamanca Yo también, porque la # la polla, si sabe cantar la tabla a la marimacho.	non-sexist
977	MeTwo	Twitter	es	Ésta hp @ClaudiaLopez a favor que a sus amigos de Farc no paguen penas duras por violaciones de niños,como es marimacho y no puede hacer hijos con su marida le importará cinco el sufrimiento de los infantes y sus familiares! https://t.co/JWVOtPeEri	non-sexist
978	MeTwo	Twitter	es	"@myangelpjm Hola soy Daniela y soy de Mexico y actualmente vivo en USA. Tengo 13 años, estudio, practico ingles para mejorar, paso tiempo con mi familia, juego con mi perrita💕 y mi hermana. Tengo vida social normal :) Y aun asi tengo tiempo para BTS.
No soy una niñata, solo ARMY💓"	non-sexist
979	MeTwo	Twitter	es	"Un ""Manolo"" que se pone de nick rabiosa me parece a mí que poco contacto femenino tiene, más allá de contarle a su mejor amiga cómo le rompieron el ojete. O eso o es una niñata comedora de Doritos que envidia a las chicas mayores."	non-sexist
980	MeTwo	Twitter	es	@IsaPantojam eres una niñata de mierda viciosa y te están dando mas de lo mismo que tomas tu cada día vicio vicio y vicio en parte te va ah venir hasta bien por creída tonta y baga ...gilipollas	non-sexist
981	MeTwo	Twitter	es	@salvameoficial Esta niñata es absurda pero no tiene culpa de hacerse un foto con una persona que luego sería un lobo tampoco hay que cenaste	non-sexist
982	MeTwo	Twitter	es	Conozco a unas cuantas que se hacen las feministas sororas pero si ven una piba que anduvo con alguno de sus wachos la tratan de puta, zorra, etc sin ningún problema. Deberían dejar de ser tan hipócritas	sexist
983	MeTwo	Twitter	es	Y en tus días malos, te voy a querer mucho más.	non-sexist
984	MeTwo	Twitter	es	"Les sugirieron que le pusieran más vestidos o lazos para que el resto de niños no tuviera equivocaciones con su género

https://t.co/r3eWkXpEtL"	non-sexist
985	MeTwo	Twitter	es	Que lindo es despertar y ver unos mensajes de mi novio 🤤me hace sentir como una niña enamorada🙈😍	non-sexist
986	MeTwo	Twitter	es	Ya quiero volver a ser chico, no sirvo para ser chica	non-sexist
987	MeTwo	Twitter	es	"Hoy he visto una frase que no lo entendere en siglos:
""Para ser chica eres pro""
😑 Repito, una chica puede ser mejor que un chico sin problemas."	sexist
988	MeTwo	Twitter	es	"¿Y como va tu Lunes para ser chica fitness?
Pues iba bien hasta que se le salió la llanta a mi patín y casi me mato. https://t.co/AoOTABICAe"	non-sexist
989	MeTwo	Twitter	es	Mucho feminismo mucho feminismo pero andamos tirando historias burlándose de una piba solo porque el novio le metió los cuernos y volvió. Gente hipócrita en esta vida existen y muchas.	sexist
990	MeTwo	Twitter	es	@radiocarab  choca auto y agrede a mujer al volante. Las Industrias 4197. Se da a la fuga qué hacer??? https://t.co/1DQ924fEIi	non-sexist
991	MeTwo	Twitter	es	"—Las mujeres no deberían de jugar futb...
— https://t.co/MxYFJRAhET"	sexist
992	MeTwo	Twitter	es	@Albert_Rivera Albert, ya no te hace nadie ni puto caso. Deja de llorar, nenaza.	sexist
993	MeTwo	Twitter	es	La persecución religiosa en Argentina responden a la  definicion: ideología y  al nombre feminazi (gente con problemas mentales y de ira que no sabe solucionarlos por su cuenta y le echa la culpa a la Iglesia por todo incluso si les salió un granito) #PersecuciónIdeologica https://t.co/Zm03bQQxVg	sexist
994	MeTwo	Twitter	es	Me vllvi a fregar la espalda,creo que es tiempo de ir con un doctor	non-sexist
995	MeTwo	Twitter	es	@JAKPresidente @DcolorRuth Estariamos camino a Venezuela y si hubiese sido la marimacho, ya habriamos llegado	non-sexist
996	MeTwo	Twitter	es	Un ex compartió una madre de ejemplos de como una mujer puede maltratar a un hombre en su relación y uno de esos es amenazar con matarse si abandona la relación y me acordé un buen cuando el me amenazaba que se iba a aventar a las vías del metro hahaha	non-sexist
997	MeTwo	Twitter	es	Acaba de llegar mi regalo de cumple adelantado a casa y estoy dando saltos como una niña por todas las habitaciones https://t.co/0x54Q1foBq	non-sexist
998	MeTwo	Twitter	es	"La guardería les pidió que vistieran a su hija ""más como una niña"" y reaccionaron así de genial https://t.co/d9Y1ROXaSE"	non-sexist
999	MeTwo	Twitter	es	Pero por favor si está loca del coño. #HechosReales5	non-sexist
1000	MeTwo	Twitter	es	"@paranormaniac Lo bueno es que juega y nadie le dice que no es para ella, a mi siempre me tocó el ""juegas bien para ser chica"" o ""segura si puedes jugar?""."	sexist
1001	MeTwo	Twitter	es	"Y según la MOJIGATA de la Hillary Clinton, Putin no tiene alma. Otra patraña del imperio. 
#PutinLover https://t.co/g8rnmcZN54"	non-sexist
1002	MeTwo	Twitter	es	"""Las mujeres no deberían opinar/ver/jugar/hablar de fut.""
Mujeres: https://t.co/nRZsqFHnVY"	sexist
1003	MeTwo	Twitter	es	Siento que la campaña de No uses uber y Borra uber de tu celular es igual a la de las mujeres no deberían viajar solas. No le disminuyo la culpa a la empresa por su pésimo filtro pero no nos olvidemos que el verdadero culpable es EL VIOLADOR.	non-sexist
1004	MeTwo	Twitter	es	Yo no soy kirchnerista, pero opino que le tienen bronca a Cris porque, a pesar de todos sus defectos, puede unir el sujeto con el predicado de manera correcta. No como otros que le hacen poemas al feto o piensan que a las mujeres hay que regalarles plantas.	non-sexist
1005	MeTwo	Twitter	es	Pero, no, el señor decide no entender porque el odio a las mujeres y al feminismo le vale más. Igual, no voy a pedir que lo lleven a la cárcel por ser un estúpido misogino, lo invito eso sí a la reflexión y le aconsejo par sesiones con psicólogo.	non-sexist
1006	MeTwo	Twitter	es	Cuanto odio a las mujeres en este tweet, buscando cualquier excusa para atacar. No mezcle peras con manzanas por favor! https://t.co/4sO10pHx4w	non-sexist
1007	MeTwo	Twitter	es	Estoy oyendo a un viejo decir que las mujeres de hoy en dia van sin bragas y desnudas a la playa, y que esta todo lleno de maricones....un meteorito aqui y ahora por favor.	sexist
1008	MeTwo	Twitter	es	@Banorte_mx **Y TENEMOS QUE HACER, JUNTOS, ESA *GERARKIA CORONERA 666** PUESN, SI *ENBARRAN* PUESN, *TAMBIEN QUE CUMPLA, LA VAMPIRESA Y PARA GERARKA CHAMPION Y SU PAKTO DE LAGARTONA, ES UN COMPLETO DESMADRE *ESE PAKTO 666 HECHIZADO*	non-sexist
1009	MeTwo	Twitter	es	tengo 4 horas de coctelería lunes y viernes me mato, ya quiero entrar a la cocina para hacer bebidas 🍸	non-sexist
1010	MeTwo	Twitter	es	@Lourdes98452844 Asi an de haber empezado los Duarte como Repartidores y por eso quedaron esponjaditos los mendigos 😂😂y ya aprendida la técnica a fregar al que se deje	non-sexist
1011	MeTwo	Twitter	es	Soy la típica que odia ir de tiendas, hablar horas por teléfono, las fiestas 'solo de chicas' y que me estén diciendo constantemente lo estupenda que soy. Ahora ven y dime marimacho. https://t.co/HbqX8U9w76	non-sexist
1012	MeTwo	Twitter	es	(+) Camille, si. No debería estar cuidando de una niñata que ya le importaba muy poco; aunque claro, su jefa le pedía eso y no podía negarse a aquellas peticiones, a pesar de no querer tener nada que ver con ella después de los incidentes que podrían o no haber sido por su (+)	non-sexist
1013	MeTwo	Twitter	es	hace mil no escuchaba la palabra zorra jajajaajajajjajajajaja	non-sexist
1014	MeTwo	Twitter	es	@ElHuffPost En 2006 se convirtió en la actriz mejor pagada de la industria cinematográfica.  Yo la recuerdo como una mujer bellísima y a pesar del tiempo sigue siendo una mujer bella.	non-sexist
1015	MeTwo	Twitter	es	Si no me ves como una niña de 4 años…son un NIÑOFÓBICO..!!😵🤓🤐 https://t.co/Xk5Ku374cu	non-sexist
1016	MeTwo	Twitter	es	@zappacostananu @Ailingomez2 No se olviden de 🌈la loca del bebito🌈	non-sexist
1017	MeTwo	Twitter	es	Últimamente me sale muchas publicidad para ser chica webcam. Coincidencia no creo.	non-sexist
1018	MeTwo	Twitter	es	@NinaQueral La madre que la trajo , ahora que quieres está mojigata? Un Arlington ? Que no somos americanos capulla. Lo q busca es una excusa para no votar a favor de la exhumación de Paquito , vamos como si lo viera venir, q os jugáis que se abstienen?	non-sexist
1019	MeTwo	Twitter	es	@MelMelValVal Hace dos meses era una mojigata total, pero cambié en este tiempo 🌚🌚🌚 #somosenloshostelsconlosaustralianoscsm	non-sexist
1020	MeTwo	Twitter	es	Las mujeres de hoy en día son completamente falsas	sexist
1021	MeTwo	Twitter	es	@olivelvet Pocas ostias le habrán caído al tonto de los cojones..ni le habrán tocado..nenaza	sexist
1022	MeTwo	Twitter	es	"@Gaydancer @Yo_Soy_Asin @JVL1OCT Eso denota buen espíritu y personalidad.

Personalmente a mí, por todo lo que han sufrido y vivido mi madre y hermana, me jode que se feminize a alguien para insultar como si eso fuera negativo.

Cómo cuando le dicen a un chiquillo ""no seas nenaza"" y cosas por el estilo.

Saludos"	sexist
1023	MeTwo	Twitter	es	"@adnradiochile RAE:
feminazi = feministas radicalizadas"	sexist
1024	MeTwo	Twitter	es	@sabo_kvn perdón feminazi opresora	sexist
1025	MeTwo	Twitter	es	"Bogotá: te vamos a fregar con este solazo, ¿cómo la ves?
Yo, un guerrero oscuro: https://t.co/DLXeSSL4IG"	non-sexist
1026	MeTwo	Twitter	es	@traedpizza Me irl y tengo que decir que aunque muchos días no quiera hacer absolutamente nada me obligo a fregar los platos o lo que sea y luego me siento mejor conmigo misma y todo	non-sexist
1027	MeTwo	Twitter	es	@odisjoberg Está siendo una niñata. La era de EMEIE está siendo una maravilla en comparación, no digo más.	non-sexist
1028	MeTwo	Twitter	es	TU  NARCISISTA,  Y  PREOCUPARTE!  LLEVAS  4 DÍAS  Y TE CREES  QUE  PUEDES HUMILLAR  Y HABLAR  CON  ESA PREPOTENCIA!  PONTE  A ESTUDIAR,  AUNQUE  SEAS MAYOR  NUNCA !ES TARDE! Y TE LÍAS  CON UNA NIÑATA,  QUE  ESTA POR  LO QUE  GANAS.  SI NO. ESTARÍA  CON  UNA  PERSONA  DE SU  EDAD! https://t.co/iDaxDquKRG	non-sexist
1029	MeTwo	Twitter	es	Dulceida es gilipollas, no sé qué os esperáis de una niñata pija y egocéntrica https://t.co/oSqvQxqLhZ	non-sexist
1030	MeTwo	Twitter	es	@_chocoqueen Aquí la única mierda eres tú y las que se parecen a ti, niñata. De hecho es posible que estés manipulando, creyendo tú misma que tus relaciones han sido injustas, cuando la víbora tóxica y corrupta eres tú.	non-sexist
1031	MeTwo	Twitter	es	Estoy por doblar, freno para dejar cruzar a la gente. El señor que estaba atrás, muy alterado, no paraba de tocar bocina. Cuando logra avanzar, me grita: “MUJER TENÍAS QUE SER, INÚTIL” y se fue rápido. Pregunta: Hasta cuando habrá que bancarse este tipo de situaciones? 🤔🤬 LPMMM	sexist
1032	MeTwo	Twitter	es	Disponible en ibubok el libro Mujer tenías que ser https://t.co/DkSde412ZC	non-sexist
1033	MeTwo	Twitter	es	"@RAEinforma @Antifeminaziis Las feministas y sus ""Aliades"" están molestos con esto.😂😂 Te amo @RAEinforma .😍"	sexist
1034	MeTwo	Twitter	es	@Carmenmemarin @FranLiza92 @Imperiumdefendi @iunida Esa boca pedazo de zorra franquista	sexist
1035	MeTwo	Twitter	es	"Bachelet dice que le alegra haber dejado la mansa zorra y que ahora se va a vivir hasta las próximas elecciones a Ginebra, donde estará lejos de la justicia y la crisis que dejó en Chile.

También dice que gracias a Piñera por no denunciar la corrupción del gobierno anterior."	non-sexist
